Year,GDP per capita in U.S. dollars
2025*,4690.87
2024*,4396.57
2023*,4132.54
2022*,3885.24
2021*,3675.17
2020*,3358.33
2019*,3601.68
2018,3616.4
2017,3239.04
2016,3082.21
2015,2996.38
2014,3532.98
2013,3557.84
2012,3388.78
2011,3672.56
2010,3312.07
2009,3416.27
2008,3636.17
2007,3110.45
2006,2571.82
2005,2298.4
2004,2188.0
2003,1935.48
2002,1501.48
2001,1387.33
2000,1399.09
1999,1541.83
1998,1376.76
1997,1322.34
1996,1385.77
1995,1378.16
1994,1180.49
1993,1046.27
1992,1062.47
1991,974.87
1990,957.37
1989,853.01
1988,861.86
1987,783.24
1986,645.82
1985,476.33
