municipality of Italy,Percentage change in number of deaths
Ostana  (Cuneo),900%
Cassiglio  (Bergamo),900%
Derovere  (Cremona),900%
Bionaz  (Aosta Valley),500%
Nasino  (Savona),483.3%
Torlino Vimercati  (Cremona),483.3%
Baldissero d'Alba  (Cuneo),471.4%
Isolabella  (Turin),400%
Roascio  (Cuneo),400%
Valsavarenche  (Aosta Valley),400%
Armo  (Imperia),400%
Masciago Primo  (Varese),400%
Tenna  (Trento),400%
Polino  (Terni),400%
Carapelle Calvisio  (L'Aquila),400%
Torre Beretti e Castellaro  (Pavia),350%
Valeggio  (Pavia),316.7%
Montello  (Bergamo),304.8%
Moransengo  (Asti),300%
Olmeneta  (Cremona),300%
Berzo San Fermo  (Bergamo),294.7%
