telecommunication companies,Net profit in million SEK
Telia Company AB,10986.0
Tele2 AB,3372.0
Telenor Sverige AB,2864.0
Teracom AB,471.43
SES Astra AB,303.21
Telenor Connexion AB,256.57
Canal Digital Sverige AB,224.54
Sinch AB (publ),201.3
Zitius Service Delivery AB,182.34
Boxer TV-Access AB,145.27
Verizon Sweden AB,136.67
TelaVox AB,73.49
Invisio Communications AB,64.2
Svenska UMTS-nät AB,49.0
Ownit Broadband AB,44.1
Svenska Rymd AB,37.67
Marlink AB,31.43
Bjäre Kraft Bredband AB,28.48
Nordic Entertainment Group Technology AB,26.52
Iver Sverige AB,23.65
