Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,36.13
"Finance, insurance, real estate, rental, and leasing",28.29
Government and government enterprises,24.3
"Educational services, health care, and social assistance",18.54
Professional and business services,17.09
Wholesale trade,13.79
Retail trade,12.04
Transportation and warehousing,8.55
Construction,6.92
"Arts, entertainment, recreation, accommodation, and food services",6.29
Information,5.49
"Agriculture, forestry, fishing, and hunting",3.96
Utilities,3.25
"Mining, quarrying, and oil and gas extraction",2.21
