Month,Number of patients
December 4,449
December 3,533
December 2,500
December 1,372
November 30,311
November 29,418
November 28,561
November 27,570
November 26,481
November 25,401
November 24,186
November 23,314
November 22,391
November 21,539
November 20,522
November 19,533
November 18,485
November 17,298
November 16,180
November 15,255
November 14,352
November 13,374
November 12,393
November 11,317
November 10,293
November 9,157
November 8,189
November 7,294
November 6,242
November 5,269
November 4,122
November 3,209
November 2,87
November 1,116
October 31,215
October 30,204
October 29,221
October 28,171
October 27,158
October 26,102
October 25,124
October 24,203
October 23,186
October 22,185
October 21,150
October 20,139
October 19,78
October 18,132
October 17,235
October 16,184
October 15,284
October 14,177
October 13,166
October 12,78
October 11,146
October 10,248
October 9,203
October 8,248
October 7,142
October 6,177
October 5,66
October 4,108
October 3,207
October 2,196
October 1,235
September 30,194
September 29,212
September 28,78
September 27,144
September 26,269
September 25,195
September 24,195
September 23,59
September 22,88
September 21,98
September 20,162
September 19,218
September 18,220
September 17,171
September 16,163
September 15,191
September 14,80
September 13,146
September 12,226
September 11,187
September 10,276
September 9,149
September 8,170
September 7,77
September 6,116
September 5,181
September 4,136
September 3,211
September 2,141
September 1,170
August 31,100
August 30,148
August 29,247
August 28,226
August 27,250
August 26,236
August 25,182
August 24,95
August 23,212
August 22,256
August 21,258
August 20,339
August 19,186
August 18,207
August 17,161
August 16,260
August 15,385
August 14,389
August 13,206
August 12,222
August 11,188
August 10,197
August 9,331
August 8,429
August 7,462
August 6,360
August 5,263
August 4,309
August 3,258
August 2,292
August 1,472
July 31,463
July 30,367
July 29,250
July 28,266
July 27,131
July 26,239
July 25,295
July 24,260
July 23,366
July 22,238
July 21,237
July 20,168
July 19,188
July 18,290
July 17,293
July 16,286
July 15,165
July 14,143
July 13,119
July 12,206
July 11,206
July 10,243
July 9,224
July 8,75
July 7,106
July 6,102
July 5,111
July 4,131
July 3,124
July 2,107
July 1,67
June 30,54
June 29,58
June 28,60
June 27,57
June 26,54
June 25,48
June 24,55
June 23,31
June 22,29
June 21,35
June 20,39
June 19,35
June 18,41
June 17,16
June 16,27
June 15,48
June 14,47
June 13,24
June 12,25
June 11,22
June 10,18
June 9,12
June 8,13
June 7,14
June 6,26
June 5,20
June 4,28
June 3,12
June 2,34
June 1,13
May 31,5
May 30,14
May 29,22
May 28,15
May 27,11
May 26,10
May 25,8
May 24,14
May 23,2
May 22,3
May 21,11
May 20,5
May 19,5
May 18,10
May 17,2
May 16,7
May 15,10
May 14,30
May 13,10
May 12,28
May 11,15
May 10,22
May 9,36
May 8,39
May 7,23
May 6,38
May 5,58
May 4,87
May 3,91
May 2,158
May 1,165
April 30,46
April 29,47
April 28,112
April 27,39
April 26,72
April 25,103
April 24,161
April 23,134
April 22,132
April 21,123
April 20,102
April 19,107
April 18,181
April 17,201
April 16,148
April 15,126
April 14,161
April 13,91
April 12,166
April 11,197
April 10,188
April 9,178
April 8,144
April 7,79
April 6,83
April 5,143
April 4,116
April 3,89
April 2,97
April 1,66
March 31,78
March 30,13
March 29,68
March 28,63
March 27,40
March 26,47
March 25,41
March 24,17
March 23,16
March 22,2
March 21,7
March 20,11
March 19,7
March 18,9
March 17,12
March 15,3
March 14,10
March 13,2
March 12,2
March 11,6
March 10,3
March 7,6
March 6,6
March 5,8
March 4,4
March 3,1
March 1,2
February 29,1
February 27,1
February 26,3
February 24,3
February 22,1
February 21,3
February 19,3
February 18,3
February 16,5
February 15,8
February 14,2
February 13,1
January 30,1
January 25,1
January 24,1
