Top 20 metropolitan areas,Percent employed in manufacturing sector
"Grand Rapids-Wyoming, MI",22%
"Wichita, KS",18.4%
"Greensboro-High Point, NC",16.9%
"Toledo, OH",16.4%
"Greenville-Anderson-Mauldin, SC",15.8%
"Milwaukee-Waukesha-West Allis, WI",14.2%
"Dayton, OH",13.6%
"Akron, OH",13.3%
"Detroit-Warren-Dearborn, MI",13.3%
"Louisville/Jefferson County, KY-IN",13%
"Cleveland-Elyria, OH",12.8%
"Tulsa, OK",12.1%
"Worcester, MA-CT",11.9%
"Rochester, NY",11.9%
"Hartford-West Hartford-East Hartford, CT",11.8%
"Cincinnati, OH-KY-IN",11.1%
"Madison, WI",11%
"Portland-Vancouver-Hillsboro, OR-WA",10.8%
"Allentown-Bethlehem-Easton, PA-NJ",10.8%
"Buffalo-Cheektowaga-Niagara Falls, NY",10.6%
"Minneapolis-St. Paul-Bloomington, MN-WI",10.6%
