ice hockey team,Twitter followers in millions
NHL - league account,6.2
Chicago Blackhawks,2.4
Toronto Maple Leafs,1.9
Pittsburgh Penguins,1.8
Philadelphia Flyers,1.5
Montreal Canadiens,1.4
Boston Bruins,1.5
New York Rangers,1.4
Detroit Red Wings,1.2
Los Angeles Kings,1.1
Dallas Stars,1.0
Vancouver Canucks,1.0
Buffalo Sabres,0.86
Edmonton Oilers,0.82
San Jose Sharks,0.81
Washington Capitals,0.77
New Jersey Devils,0.73
Tampa Bay Lightning,0.71
Minnesota Wild,0.68
St. Louis Blues,0.75
Calgary Flames,0.62
Anaheim Ducks,0.6
Nashville Predators,0.61
Ottawa Senators,0.58
Winnipeg Jets,0.55
New York Islanders,0.54
Colorado Avalanche,0.52
Columbus Blue Jackets,0.48
Carolina Hurricanes,0.45
Florida Panthers,0.38
Arizona Coyotes,0.37
