Response,Share of respondents
Equal pay/fair pay,39%
"Equal opportunity for promotion, advancement/no gender discrimination",20%
Jobs/unemployment/availability of jobs,8%
"Sexual harassment/better treatment, more respect in workplace",8%
Access to childcare/ better childcare,7%
Balancing work and home life,6%
Healthcare,5%
Maternity leave/family leave/ time off for family matters,3%
Abortion/access to contraception,2%
The economy (non-specific),2%
Education/access to education,1%
Equal benefits,1%
Other,5%
No opinion,16%
