association football club,Enterprise value in million euros
Real Madrid CF,3478
Manchester United FC,3342
FC Barcelona,3193
FC Bayern München,2878
Liverpool FC,2658
Manchester City FC,2606
Chelsea FC,2218
Tottenham Hotspur FC,2067
Paris Saint-Germain FC,1911
Arsenal FC,1852
Juventus FC,1735
Borussia Dortmund,1281
Atlético de Madrid,1197
FC Internazionale Milano,983
FC Schalke 04,814
AS Roma,602
SSC Napoli,590
West Ham United FC,561
Leicester City FC New,558
Olympique Lyonnais,543
Everton FC,533
AC Milan,526
AFC Ajax,432
SL Benfica,410
Valencia CF,408
Sevilla FC,372
Galatasaray,366
SS Lazio,328
Athletic Club Bilbao,320
FC Porto,313
Beşiktaş JK,310
Villarreal CF,301
