baseball team,Average player age in years
Washington Nationals,30.1
Oakland Athletics,28.7
Houston Astros,29.0
Chicago Cubs,28.9
Atlanta Braves,28.9
New York Yankees,29.0
Milwaukee Brewers,28.8
San Francisco Giants,29.7
New York Mets,29.3
St. Louis Cardinals,28.7
Minnesota Twins,29.7
Tampa Bay Rays,28.0
Boston Red Sox,28.6
Chicago White Sox,28.4
Los Angeles Dodgers,28.0
Seattle Mariners,26.9
Miami Marlins,28.0
Cleveland Indians,28.5
Texas Rangers,29.6
Los Angeles Angels,28.5
Colorado Rockies,27.6
Pittsburgh Pirates,27.8
Cincinnati Reds,28.6
Philadelphia Phillies,28.9
Kansas City Royals,28.0
Arizona Diamondbacks,28.8
Toronto Blue Jays,27.9
Detroit Tigers,27.6
San Diego Padres,26.7
Baltimore Orioles,27.4
