State,Hourly wages in U.S. dollars
Hawaii,38.76
California,36.96
Massachusetts,35.52
District of Columbia,32.83
New York,32.53
Washington,30.46
New Jersey,29.69
Maryland,28.06
Colorado,26.45
Connecticut,26.42
Alaska,25.07
Florida,24.43
Oregon,24.37
Virginia,23.64
New Hampshire,23.43
Vermont,23.36
Delaware,21.96
Illinois,21.3
Rhode Island,21.16
Arizona,21.1
Texas,20.9
Minnesota,20.53
Nevada,20.48
Utah,19.83
Maine,19.79
Pennsylvania,19.23
Georgia,19.11
North Carolina,17.67
Louisiana,17.48
Michigan,17.42
South Carolina,17.3
Wisconsin,17.27
Wyoming,17.15
Tennessee,17.09
Montana,16.88
Idaho,16.59
Kansas,16.43
New Mexico,16.37
Indiana,16.32
Nebraska,16.27
North Dakota,16.18
Missouri,16.07
Ohio,15.99
Oklahoma,15.93
Iowa,15.46
Alabama,15.44
South Dakota,15.24
Kentucky,14.99
West Virginia,14.97
Mississippi,14.89
Arkansas,14.19
Puerto Rico,9.36
