Month,Traffic growth
Jul 13,23.6%
Jul 12,23.8%
Jul 11,19.2%
Jul 10,22.5%
Jul 9,21.6%
Jul 8,20.8%
Jul 7,20.3%
Jul 6,22.6%
Jul 5,18.8%
Jul 4,15.5%
Jul 3,23.2%
Jul 2,25%
Jul 1,22.6%
Jun 30,22.5%
Jun 29,30.6%
Jun 28,28.2%
Jun 27,25%
Jun 26,21.9%
Jun 25,20.7%
Jun 24,16.2%
Jun 23,18.1%
Jun 22,18.7%
Jun 21,16.9%
Jun 20,11.7%
Jun 19,17.3%
Jun 18,20.6%
Jun 17,20.1%
Jun 16,17.2%
Jun 15,16.6%
Jun 14,14.4%
Jun 13,10.9%
Jun 12,15.8%
Jun 11,13.9%
Jun 10,17.3%
Jun 9,15.8%
Jun 8,16.3%
Jun 7,15.2%
Jun 6,13.2%
Jun 5,19.5%
Jun 4,17.9%
Jun 3,15.5%
Jun 2,17.8%
Jun 1,17.8%
May 31,16.9%
May 30,11%
May 29,17.4%
May 28,15.4%
May 27,12.5%
May 26,16.2%
May 25,16.4%
May 24,13.5%
May 23,7.8%
May 22,15.6%
May 21,9.2%
May 20,12.9%
May 19,13.4%
May 18,13.2%
May 17,13%
May 16,8.8%
May 15,17.4%
May 14,16.6%
May 13,15.7%
May 12,21.5%
May 11,15.7%
May 10,12.6%
May 9,6.6%
May 8,17.5%
May 7,16.8%
May 6,16.2%
May 5,14.8%
May 4,12.5%
May 3,13.7%
May 2,12.5%
May 1,15.3%
Apr 30,19.7%
Apr 29,21.1%
Apr 28,20.8%
Apr 27,26.4%
Apr 26,23.4%
Apr 25,21.2%
Apr 24,27.2%
Apr 23,28.9%
Apr 22,27.8%
Apr 21,25.7%
Apr 20,29.5%
Apr 19,23.7%
Apr 18,19.8%
Apr 17,28.1%
Apr 16,30.4%
Apr 15,28.7%
Apr 14,28.9%
Apr 13,23.3%
Apr 12,18.2%
Apr 11,14.8%
Apr 10,20.8%
Apr 9,18%
Apr 8,18.4%
Apr 7,19.1%
Apr 6,22.4%
Apr 5,23.1%
Apr 4,21.6%
Apr 3,25.1%
Apr 2,14.9%
Apr 1,21.6%
Mar 31,23%
Mar 30,25.6%
Mar 29,28.6%
Mar 28,30.3%
Mar 27,37.9%
Mar 26,45.7%
Mar 25,53.2%
Mar 24,57.1%
Mar 23,3.3%
Mar 22,2.8%
Mar 21,2.1%
Mar 20,3.9%
Mar 19,3.8%
Mar 18,4.8%
Mar 17,5.3%
Mar 15,6.6%
Mar 14,3.3%
Mar 13,2.7%
Mar 12,0.5%
Mar 11,-0.2%
Mar 10,2.2%
Mar 9,3.9%
Mar 8,-1.7%
Mar 6,0.2%
Mar 5,1.1%
Mar 4,-1.2%
Mar 3,0.2%
Mar 2,2.7%
Mar 1,3.7%
Feb 29,1.5%
Feb 25,2.5%
Feb 24,1.2%
