Month,Weekly hours of work in millions
Oct 20,960.0
Sep 20,925.0
Aug 20,891.0
Jul 20,855.1
Jun 20,841.9
May 20,870.9
Apr 20,953.4
Mar 20,1029.2
Feb 20,1052.2
Jan 20,1051.1
Dec 19,1050.1
Nov 19,1054.1
Oct 19,1055.7
Sep 19,1052.6
Aug 19,1049.2
Jul 19,1049.8
Jun 19,1052.6
May 19,1052.4
Apr 19,1054.1
Mar 19,1052.9
Feb 19,1052.9
Jan 19,1047.5
Dec 18,1042.0
Nov 18,1040.1
Oct 18,1044.8
Sep 18,1042.7
Aug 18,1041.1
Jul 18,1035.2
Jun 18,1033.6
May 18,1032.5
Apr 18,1029.6
Mar 18,1031.9
Feb 18,1031.7
Jan 18,1034.6
Dec 17,1026.9
Nov 17,1028.5
Oct 17,1024.9
Sep 17,1024.5
Aug 17,1030.6
Jul 17,1033.1
Jun 17,1034.8
May 17,1029.5
Apr 17,1029.9
Mar 17,1029.3
Feb 17,1029.1
Jan 17,1027.0
Dec 16,1022.9
Nov 16,1019.1
Oct 16,1014.8
Sep 16,1018.9
Aug 16,1016.2
Jul 16,1018.3
Jun 16,1016.5
May 16,1018.0
Apr 16,1014.7
Mar 16,1013.9
Feb 16,1012.9
Jan 16,1014.5
Dec 15,1019.0
Nov 15,1014.3
Oct 15,1008.6
Sep 15,999.3
Aug 15,1000.1
Jul 15,997.5
Jun 15,999.0
May 15,997.8
Apr 15,1000.2
Mar 15,1000.3
Feb 15,999.0
Jan 15,996.7
Dec 14,997.5
Nov 14,996.0
Oct 14,996.3
Sep 14,991.6
Aug 14,990.2
Jul 14,987.2
Jun 14,988.4
May 14,988.0
Apr 14,983.8
Mar 14,978.9
Feb 14,976.1
Jan 14,970.1
Dec 13,970.1
Nov 13,971.9
Oct 13,970.6
Sep 13,968.4
Aug 13,964.3
Jul 13,963.1
Jun 13,957.1
May 13,955.5
Apr 13,953.7
Mar 13,954.5
Feb 13,954.3
Jan 13,954.8
Dec 12,953.7
Nov 12,947.1
Oct 12,953.5
Sep 12,950.8
Aug 12,941.8
Jul 12,940.1
Jun 12,941.3
May 12,944.4
Apr 12,935.5
Mar 12,934.9
Feb 12,932.3
Jan 12,931.2
Dec 11,926.0
Nov 11,927.8
Oct 11,929.0
Sep 11,927.0
Aug 11,928.4
Jul 11,927.3
Jun 11,921.4
May 11,921.6
Apr 11,922.4
Mar 11,931.3
Feb 11,935.7
Jan 11,932.7
Dec 10,930.9
Nov 10,922.0
Oct 10,922.6
Sep 10,926.9
Aug 10,925.0
Jul 10,926.2
Jun 10,922.3
May 10,916.4
Apr 10,913.8
Mar 10,914.4
Feb 10,918.6
Jan 10,914.4
Dec 09,915.6
Nov 09,916.2
Oct 09,919.3
Sep 09,915.2
Aug 09,910.7
Jul 09,913.7
Jun 09,920.1
May 09,923.4
Apr 09,924.3
Mar 09,923.5
Feb 09,928.2
Jan 09,936.8
Dec 08,939.5
Nov 08,941.0
Oct 08,942.1
Sep 08,945.2
Aug 08,948.0
Jul 08,950.1
Jun 08,944.6
May 08,951.2
Apr 08,950.9
Mar 08,955.1
Feb 08,946.2
Jan 08,943.1
Dec 07,943.1
Nov 07,944.7
Oct 07,944.9
Sep 07,943.1
Aug 07,943.0
Jul 07,941.2
Jun 07,941.2
May 07,939.9
Apr 07,936.4
Mar 07,937.1
Feb 07,937.3
Jan 07,938.2
Dec 06,935.6
Nov 06,932.6
Oct 06,932.0
Sep 06,931.8
Aug 06,934.3
Jul 06,931.8
Jun 06,930.5
May 06,931.1
Apr 06,932.0
Mar 06,931.7
Feb 06,932.1
Jan 06,931.3
Dec 05,929.3
Nov 05,928.4
Oct 05,928.3
Sep 05,929.5
Aug 05,924.8
Jul 05,925.1
Jun 05,922.9
May 05,923.0
Apr 05,923.6
Mar 05,923.8
Feb 05,926.4
Jan 05,924.2
Dec 04,923.0
Nov 04,919.3
Oct 04,916.0
Sep 04,911.9
Aug 04,908.9
Jul 04,907.9
Jun 04,909.8
May 04,911.4
Apr 04,911.5
Mar 04,913.1
Feb 04,909.1
Jan 04,905.2
Dec 03,903.9
Nov 03,905.2
Oct 03,907.4
Sep 03,908.3
Aug 03,908.1
Jul 03,908.6
Jun 03,907.2
May 03,905.5
Apr 03,905.3
Mar 03,904.6
Feb 03,901.7
Jan 03,903.5
Dec 02,905.3
Nov 02,906.4
Oct 02,904.3
Sep 02,903.9
Aug 02,894.2
Jul 02,898.9
Jun 02,897.4
May 02,908.3
Apr 02,903.9
Mar 02,901.5
Feb 02,900.1
Jan 02,899.7
Dec 01,903.5
Nov 01,903.5
Oct 01,904.2
Sep 01,904.9
Aug 01,906.4
Jul 01,905.8
Jun 01,906.4
May 01,906.5
Apr 01,903.4
Mar 01,900.5
Feb 01,904.8
Jan 01,908.0
Dec 00,903.4
Nov 00,896.7
Oct 00,894.8
Sep 00,896.0
Aug 00,899.8
Jul 00,896.0
Jun 00,895.3
May 00,893.3
Apr 00,899.0
Mar 00,884.4
Feb 00,888.2
Jan 00,889.8
Dec 99,897.0
Nov 99,894.6
Oct 99,892.6
Sep 99,894.8
Aug 99,893.4
Jul 99,892.3
Jun 99,890.6
May 99,887.3
Apr 99,886.2
Mar 99,888.3
Feb 99,888.0
Jan 99,887.2
Dec 98,883.2
Nov 98,888.5
Oct 98,888.2
Sep 98,887.6
Aug 98,885.4
Jul 98,884.6
Jun 98,884.1
May 98,885.1
Apr 98,885.9
Mar 98,884.1
Feb 98,880.4
Jan 98,881.1
Dec 97,879.8
Nov 97,884.5
Oct 97,882.9
Sep 97,880.2
Aug 97,877.9
Jul 97,877.0
Jun 97,878.3
May 97,878.1
Apr 97,877.5
Mar 97,873.7
Feb 97,870.2
Jan 97,867.8
Dec 96,866.1
Nov 96,869.2
Oct 96,865.8
Sep 96,863.3
Aug 96,863.5
Jul 96,862.3
Jun 96,862.8
May 96,860.1
Apr 96,858.6
Mar 96,859.9
Feb 96,859.9
Jan 96,861.8
Dec 95,859.7
Nov 95,854.7
Oct 95,854.1
Sep 95,854.9
Aug 95,855.5
Jul 95,855.1
Jun 95,854.2
May 95,855.9
Apr 95,854.4
Mar 95,852.4
Feb 95,853.5
Jan 95,854.5
Dec 94,853.0
Nov 94,847.1
Oct 94,846.4
Sep 94,846.3
Aug 94,843.9
Jul 94,841.1
Jun 94,839.2
May 94,840.4
Apr 94,842.1
Mar 94,837.1
Feb 94,836.8
Jan 94,829.3
Dec 93,831.6
Nov 93,826.4
Oct 93,832.6
Sep 93,832.4
Aug 93,833.5
Jul 93,834.1
Jun 93,832.6
May 93,830.4
Apr 93,829.6
Mar 93,832.3
Feb 93,832.9
Jan 93,834.1
Dec 92,832.8
Nov 92,837.2
Oct 92,837.7
Sep 92,840.4
Aug 92,841.4
Jul 92,843.5
Jun 92,847.6
May 92,847.2
Apr 92,846.9
Mar 92,847.2
Feb 92,848.8
Jan 92,850.1
Dec 91,851.9
Nov 91,854.2
Oct 91,856.9
Sep 91,859.5
Aug 91,862.6
Jul 91,866.1
Jun 91,869.8
May 91,873.8
Apr 91,877.6
Mar 91,881.4
Feb 91,885.2
Jan 91,889.0
Dec 90,892.4
Nov 90,895.8
Oct 90,898.8
Sep 90,901.8
Aug 90,904.1
Jul 90,905.8
Jun 90,906.6
May 90,907.3
Apr 90,907.7
Mar 90,908.1
Feb 90,908.6
Jan 90,908.7
Dec 89,908.8
Nov 89,908.1
Oct 89,907.3
Sep 89,906.6
Aug 89,905.8
Jul 89,904.9
Jun 89,904.1
May 89,903.2
Apr 89,901.4
Mar 89,898.9
Feb 89,895.9
Jan 89,893.0
Dec 88,890.2
Nov 88,887.9
Oct 88,885.7
Sep 88,883.1
Aug 88,880.8
