ceremonial county of England,Number of inhabitants (in thousands)
Greater London,8961.99
West Midlands,2928.59
Greater Manchester,2835.69
West Yorkshire,2332.47
Kent,1860.11
Hampshire,1849.97
Essex,1846.66
Lancashire,1508.94
Merseyside,1429.91
South Yorkshire,1409.02
Devon,1200.74
Surrey,1196.24
Hertfordshire,1189.52
Nottinghamshire,1161.12
Tyne and Wear,1141.47
Staffordshire,1135.94
North Yorkshire,1106.8
Lincolnshire,1093.08
Cheshire,1066.65
Leicestershire,1060.38
Derbyshire,1060.0
Somerset,970.56
County Durham,927.91
Gloucestershire,922.16
Berkshire,914.86
Norfolk,907.76
West Sussex,863.98
Cambridgeshire,855.8
East Sussex,848.11
Buckinghamshire,813.43
Dorset,773.84
Suffolk,761.35
Northamptonshire,753.28
Wiltshire,722.22
Oxfordshire,691.67
Bedfordshire,674.99
East Yorkshire,600.95
Worcestershire,595.79
Warwickshire,577.93
Cornwall,571.8
Shropshire,502.99
Cumbria,500.01
Bristol,463.38
Northumberland,322.43
Herefordshire,192.8
Isle of Wight,141.77
Rutland,39.93
