Month,Cumulative number of cases
Dec 20,625930
Dec 19,623760
Dec 18,621039
Dec 17,618204
Dec 16,615058
Dec 15,611422
Dec 14,609211
Dec 13,608137
Dec 12,605966
Dec 11,603159
Dec 10,600397
Dec 9,597643
Dec 8,594572
Dec 7,592615
Dec 6,591756
Dec 5,589842
Dec 4,587439
Dec 3,584857
Dec 2,582252
Dec 1,579212
Nov 30,577345
Nov 29,576599
Nov 28,574448
Nov 27,570829
Nov 26,567532
Nov 25,564532
Nov 24,561803
Nov 23,559902
Nov 22,558779
Nov 21,556904
Nov 20,553680
Nov 19,550264
Nov 18,545926
Nov 17,545691
Nov 16,545686
Nov 15,535939
Nov 14,535841
Nov 13,534694
Nov 12,529471
Nov 11,523227
Nov 10,521285
Nov 9,513730
Nov 8,505201
Nov 7,503754
Nov 6,500470
Nov 5,493319
Nov 4,485908
Nov 3,476851
Nov 2,464958
Nov 1,451227
Oct 31,448565
Oct 30,441588
Oct 29,426427
Oct 28,411541
Oct 27,393719
Oct 26,371558
Oct 25,351725
Oct 24,346832
Oct 23,335279
Oct 22,316408
Oct 21,298729
Oct 20,279196
Oct 19,260622
Oct 18,245590
Oct 17,241314
Oct 16,233580
Oct 15,220460
Oct 14,208794
Oct 13,196555
Oct 12,184002
Oct 11,174284
Oct 10,171876
Oct 9,167570
Oct 8,159787
Oct 7,153202
Oct 6,146405
Oct 5,140718
Oct 4,135466
Oct 3,134431
Oct 2,132722
Oct 1,129001
Sep 30,125594
Sep 29,122353
Sep 28,119369
Sep 27,116588
Sep 26,116049
Sep 25,115105
Sep 24,113483
Sep 23,111688
Sep 22,109599
Sep 21,107528
Sep 20,105341
Sep 19,104882
Sep 18,103987
Sep 17,102257
Sep 16,100507
Sep 15,98566
Sep 14,97455
Sep 13,96937
Sep 12,95214
Sep 11,94912
Sep 10,94295
Sep 9,93011
Sep 8,91868
Sep 7,90844
Sep 6,89013
Sep 5,88858
Sep 4,88537
Sep 3,87824
Sep 2,87166
Sep 1,86594
Aug 31,86025
Aug 30,85392
Aug 29,85275
Aug 28,85083
Aug 27,84470
Aug 26,83935
Aug 25,83411
Aug 24,82884
Aug 23,82367
Aug 22,82252
Aug 21,82058
Aug 20,81549
Aug 19,80970
Aug 18,80355
Aug 17,79628
Aug 16,78921
Aug 15,78787
Aug 14,78624
Aug 13,78037
Aug 12,77368
Aug 11,76757
Aug 10,76040
Aug 9,75167
Aug 8,75046
Aug 7,74743
Aug 6,73969
Aug 5,73201
Aug 4,72436
Aug 3,71624
Aug 2,70830
Aug 1,70682
Jul 31,70375
Jul 30,69691
Jul 29,69056
Jul 28,68353
Jul 27,67668
Jul 26,67073
Jul 25,66889
Jul 24,66660
Jul 23,66221
Jul 22,65668
Jul 21,65523
Jul 20,65080
Jul 19,65015
Jul 18,64898
Jul 17,64886
Jul 16,64612
Jul 15,64386
Jul 14,64124
Jul 13,63094
Jul 12,62871
Jul 11,62828
Jul 10,62690
Jul 9,62604
Jul 8,62497
Jul 7,62362
Jul 6,62264
Jul 5,62151
Jul 4,62127
Jul 3,62066
Jul 2,61972
Jul 1,61881
Jun 30,61757
Jun 29,61657
Jun 28,61530
Jun 27,61502
Jun 26,61462
Jun 25,61350
Jun 24,61275
Jun 23,61175
Jun 22,61066
Jun 21,60922
Jun 20,60778
Jun 19,60730
Jun 18,60615
Jun 17,60509
Jun 16,60387
Jun 15,60290
Jun 14,60142
Jun 13,60120
Jun 12,60073
Jun 11,59985
Jun 10,59891
Jun 9,59775
Jun 8,59631
Jun 7,59481
Jun 6,59428
Jun 5,59359
Jun 4,59204
Jun 3,59036
Jun 2,58876
Jun 1,58698
May 31,58640
May 30,58592
May 29,58532
May 28,58373
May 27,58214
May 26,58033
May 25,57835
May 24,57531
May 23,57456
May 22,57334
May 21,57088
May 20,57017
May 19,56636
May 18,56352
May 17,56045
May 16,55964
May 15,55818
May 14,55478
May 13,55184
May 12,54866
May 11,54471
May 10,54009
May 9,53891
May 8,53651
May 7,53172
May 6,52746
May 5,52195
May 4,51659
May 3,50990
May 2,50849
May 1,50565
Apr 30,50328
Apr 29,49741
Apr 28,49227
Apr 27,48659
Apr 26,47911
Apr 25,47706
Apr 24,47319
Apr 23,46516
Apr 22,45548
Apr 21,44773
Apr 20,43510
Apr 19,42238
Apr 18,41795
Apr 17,41078
Apr 16,39696
Apr 15,38032
Apr 14,36412
Apr 13,34850
Apr 12,34318
Apr 11,33801
Apr 10,32778
Apr 9,30459
Apr 8,28235
Apr 7,26648
Apr 6,25148
Apr 5,23226
Apr 4,22561
Apr 3,21636
Apr 2,19945
Apr 1,18485
Mar 31,16982
Mar 30,15301
Mar 29,13563
Mar 28,12880
Mar 27,12036
Mar 26,10517
Mar 25,9154
Mar 24,7955
Mar 23,6760
Mar 22,5431
Mar 21,4945
Mar 20,4475
Mar 19,3812
Mar 18,3099
Mar 17,2565
Mar 16,2143
Mar 15,1756
Mar 14,1542
Mar 13,1363
Mar 12,1025
Mar 11,775
Mar 10,601
Mar 9,502
Mar 8,408
Mar 7,344
Mar 6,317
Mar 5,206
Mar 4,125
Mar 3,70
Mar 2,34
Mar 1,17
Feb 2,1
