Year,Gross domestic product in billion international dollars
2021*,1910.0
2020*,1797.17
2019,1904.39
2018,1841.63
2017,1762.34
2016,1676.6
2015,1642.97
2014,1615.39
2013,1541.79
2012,1480.71
2011,1427.71
2010,1355.84
2009,1300.05
2008,1329.1
2007,1290.78
2006,1231.5
2005,1164.64
2004,1094.4
2003,1033.79
2002,996.98
2001,952.7
2000,915.86
1999,851.74
1998,798.4
1997,759.9
1996,716.36
1995,692.27
1994,660.26
1993,618.66
1992,588.67
1991,570.42
1990,563.52
1989,542.29
1988,510.02
1987,471.84
1986,442.43
1985,424.59
1984,392.96
