Occupation group,Number of nonfatal occupational injuries and illnesses
"Laborers and Freight, Stock, and Material Movers, Hand",66300
Heavy and Tractor-Trailer Truck Drivers,48050
Nursing Assistants,29490
Retail Salespersons,26670
Stock Clerks and Order Fillers,25100
"Production Workers, All Other",23260
Light Truck or Delivery Services Drivers,22270
"Maintenance and Repair Workers, General",21130
Construction Laborers,20430
Registered Nurses,20040
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",19090
Maids and Housekeeping Cleaners,16520
First-Line Supervisors of Retail Sales Workers,16500
Food Preparation Workers,14230
Personal Care Aides,12910
Carpenters,12640
"Combined Food Preparation and Serving Workers, Including Fast Food",12180
Automotive Service Technicians and Mechanics,11700
Landscaping and Groundskeeping Workers,11280
"Cooks, Restaurant",10750
"Assemblers and Fabricators, All Other",10170
Driver/Sales Workers,8200
Cashiers,8130
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",7930
"Telecommunications Equipment Installers and Repairers, Except Line Installers",7290
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",6900
Waiters and Waitresses,6780
Security Guards,6660
Home Health Aides,6640
Customer Service Representatives,6510
First-Line Supervisors of Food Preparation and Serving Workers,6400
Electricians,6350
"Metal Workers and Plastic Workers, All Other",6190
Cargo and Freight Agents,5800
"Plumbers, Pipefitters, and Steamfitters",5640
First-Line Supervisors of Construction Trades and Extraction Workers,5390
Flight Attendants,5090
Industrial Truck and Tractor Operators,4970
"Shipping, Receiving, and Traffic Clerks",4950
Licensed Practical and Licensed Vocational Nurses,4880
