Year,Inflation rate compared to previous year
2025*,5%
2024*,5.1%
2023*,5.3%
2022*,5.35%
2021*,5.4%
2020*,5.1%
2019,3.91%
2018,3.74%
2017,4.38%
2016,2.35%
2015,3.68%
2014,8.29%
2013,9.34%
2012,6.9%
2011,7.53%
2010,12.61%
2009,9.57%
2008,22.03%
2007,9.15%
2006,8.92%
2005,13.42%
2004,14.84%
2003,9.94%
2002,8.22%
2001,9.51%
2000,4.59%
1999,5.98%
1998,8.63%
1997,9.66%
1996,26.41%
1995,19.91%
1994,35.06%
1993,22.07%
1992,77.3%
1991,51.07%
1990,24.78%
1989,16.12%
1988,8.2%
1987,11.2%
1986,24.4%
1985,29.7%
