Year,GDP per capita in U.S. dollars
2025*,63622.0
2024*,61640.4
2023*,59655.97
2022*,57381.16
2021*,54816.9
2020*,48461.48
2019,48809.55
2018,50074.88
2017,46361.7
2016,43865.76
2015,42867.09
2014,50087.91
2013,49766.13
2012,47553.4
2011,50960.18
2010,46391.71
2009,47337.94
2008,53785.14
2007,48463.31
2006,41238.71
2005,39103.0
2004,37736.55
2003,32915.02
2002,26946.52
2001,24963.42
2000,24342.6
1999,26242.13
1998,26054.15
1997,24744.56
1996,25827.21
1995,26349.39
1994,20433.66
1993,17669.83
1992,22514.81
1991,25665.17
1990,28505.54
1989,24040.64
1988,22122.56
1987,18632.08
1986,14998.34
1985,11488.75
