Response,Percentage of respondents
To get in shape/stay in shape/stay healthy,63%
For overall health/well-being,60%
It's at a convenient location to me,59%
"The variety of equipment, strength and cardiovascular equipment",42%
"To get my workout in, rather than to socialize",37%
To make progress with my personal goals,36%
Access to group exercise classes,29%
To have fun,25%
My friends and family work out at the health club,23%
Access to fitness professionals,21%
The social aspects of the health club,20%
I feel obligated to go to the health club because of the money I spend on my membership,12%
