Response,Percentage of total funding
U.S. National Institutes of Health,61%
Aggregate industry,14%
Bill & Melinda Gates Foundation,9.2%
U.S. Agency for International Development,3.7%
Unitaid,3.6%
U.S. Department of Defense,1.4%
European Commission,1%
UK Department for International Development,0.9%
German Federal Ministry of Education and Research (BMBF),0.7%
French National Agency for AIDS Research (ANRS),0.6%
French National Institute of Health and Medical Research (INSERM),0.4%
Dutch Directorate-General for International Cooperation (DGIS),0.4%
