State,Average debt in U.S. dollars
New Hampshire,39410
Pennsylvania,39027
Connecticut,38546
Rhode Island,37614
Delaware,37447
Maine,33591
New Jersey,33566
Massachusetts,33256
North Dakota,32745
District of Columbia,32039
Minnesota,31856
South Dakota,31653
Mississippi,31651
Wisconsin,31550
South Carolina,31524
New York,31155
Michigan,30677
Virginia,30574
Vermont,30566
Maryland,30303
Iowa,30259
Ohio,29886
Alabama,29791
Illinois,29666
West Virginia,29272
Missouri,28740
Kentucky,28482
Indiana,28112
Georgia,28081
Oregon,27542
Tennessee,27525
Montana,27265
Texas,26951
Kansas,26788
Arkansas,26679
North Carolina,26583
Colorado,26562
Nebraska,26026
Idaho,25942
Alaska,25925
Oklahoma,25793
Louisiana,25512
Arizona,24712
Washington,24645
Florida,24629
Hawaii,23577
Wyoming,23444
California,21485
Nevada,21254
New Mexico,20991
Utah,17935
