Month,Inflation rate
Nov 20,0.3%
Oct 20,0.7%
Sep 20,0.5%
Aug 20,0.2%
Jul 20,1%
Jun 20,0.6%
May 20,0.5%
Apr 20,0.8%
Mar 20,1.5%
Feb 20,1.7%
Jan 20,1.8%
Dec 19,1.3%
Nov 19,1.5%
Oct 19,1.5%
Sep 19,1.7%
Aug 19,1.7%
Jul 19,2.1%
Jun 19,2%
May 19,2%
Apr 19,2.1%
Mar 19,1.9%
Feb 19,1.9%
Jan 19,1.8%
Dec 18,2.1%
Nov 18,2.3%
Oct 18,2.4%
Sep 18,2.4%
Aug 18,2.7%
Jul 18,2.5%
Jun 18,2.4%
May 18,2.4%
Apr 18,2.4%
Mar 18,2.5%
Feb 18,2.7%
Jan 18,3%
Dec 17,3%
Nov 17,3.1%
Oct 17,3%
Sep 17,3%
Aug 17,2.9%
Jul 17,2.6%
Jun 17,2.6%
May 17,2.9%
Apr 17,2.7%
Mar 17,2.3%
Feb 17,2.3%
Jan 17,1.8%
Dec 16,1.6%
Nov 16,1.2%
Oct 16,0.9%
Sep 16,1%
Aug 16,0.6%
Jul 16,0.6%
Jun 16,0.5%
May 16,0.3%
Apr 16,0.3%
Mar 16,0.5%
Feb 16,0.3%
Jan 16,0.3%
Dec 15,0.2%
Nov 15,0.1%
Oct 15,-0.1%
Sep 15,-0.1%
Aug 15,0%
Jul 15,0.1%
Jun 15,0%
May 15,0.1%
Apr 15,-0.1%
Mar 15,0%
Feb 15,0%
Jan 15,0.3%
Dec 14,0.5%
Nov 14,1%
Oct 14,1.3%
Sep 14,1.2%
Aug 14,1.5%
Jul 14,1.6%
Jun 14,1.9%
May 14,1.5%
Apr 14,1.8%
Mar 14,1.6%
Feb 14,1.7%
Jan 14,1.9%
Dec 13,2%
Nov 13,2.1%
Oct 13,2.2%
Sep 13,2.7%
Aug 13,2.7%
Jul 13,2.8%
Jun 13,2.9%
May 13,2.7%
Apr 13,2.4%
Mar 13,2.8%
Feb 13,2.8%
Jan 13,2.7%
Dec 12,2.7%
Nov 12,2.7%
Oct 12,2.7%
Sep 12,2.2%
Aug 12,2.5%
Jul 12,2.6%
Jun 12,2.4%
May 12,2.8%
Apr 12,3%
Mar 12,3.5%
Feb 12,3.4%
Jan 12,3.6%
Dec 11,4.2%
Nov 11,4.8%
Oct 11,5%
Sep 11,5.2%
Aug 11,4.5%
Jul 11,4.4%
Jun 11,4.2%
May 11,4.5%
Apr 11,4.5%
Mar 11,4%
Feb 11,4.4%
Jan 11,4%
Dec 10,3.7%
Nov 10,3.3%
Oct 10,3.2%
Sep 10,3.1%
Aug 10,3.1%
Jul 10,3.1%
Jun 10,3.2%
May 10,3.4%
Apr 10,3.7%
Mar 10,3.4%
Feb 10,3%
Jan 10,3.5%
Dec 09,2.9%
Nov 09,1.9%
Oct 09,1.5%
Sep 09,1.1%
Aug 09,1.6%
Jul 09,1.8%
Jun 09,1.8%
May 09,2.2%
Apr 09,2.3%
Mar 09,2.9%
Feb 09,3.2%
Jan 09,3%
Dec 08,3.1%
Nov 08,4.1%
Oct 08,4.5%
Sep 08,5.2%
Aug 08,4.7%
Jul 08,4.4%
Jun 08,3.8%
May 08,3.3%
Apr 08,3%
Mar 08,2.5%
Feb 08,2.5%
Jan 08,2.2%
Dec 07,2.1%
Nov 07,2.1%
Oct 07,2.1%
Sep 07,1.8%
Aug 07,1.8%
Jul 07,1.9%
Jun 07,2.4%
May 07,2.5%
Apr 07,2.8%
Mar 07,3.1%
Feb 07,2.8%
Jan 07,2.7%
Dec 06,3%
Nov 06,2.7%
Oct 06,2.4%
Sep 06,2.4%
Aug 06,2.5%
Jul 06,2.4%
Jun 06,2.5%
May 06,2.2%
Apr 06,2%
Mar 06,1.8%
Feb 06,2%
Jan 06,1.9%
Dec 05,1.9%
Nov 05,2.1%
Oct 05,2.3%
Sep 05,2.5%
Aug 05,2.4%
Jul 05,2.3%
Jun 05,2%
May 05,1.9%
Apr 05,1.9%
Mar 05,1.9%
Feb 05,1.7%
Jan 05,1.6%
Dec 04,1.7%
Nov 04,1.5%
Oct 04,1.2%
Sep 04,1.1%
Aug 04,1.3%
Jul 04,1.4%
Jun 04,1.6%
May 04,1.5%
Apr 04,1.1%
Mar 04,1.1%
Feb 04,1.3%
Jan 04,1.4%
Dec 03,1.3%
Nov 03,1.3%
Oct 03,1.4%
Sep 03,1.4%
Aug 03,1.4%
Jul 03,1.3%
Jun 03,1.1%
May 03,1.3%
Apr 03,1.4%
Mar 03,1.5%
Feb 03,1.6%
Jan 03,1.3%
Dec 02,1.7%
Nov 02,1.5%
Oct 02,1.4%
Sep 02,1%
Aug 02,1%
Jul 02,1.1%
Jun 02,0.6%
May 02,0.8%
Apr 02,1.4%
Mar 02,1.5%
Feb 02,1.5%
Jan 02,1.6%
Dec 01,1.1%
Nov 01,0.8%
Oct 01,1.2%
Sep 01,1.3%
Aug 01,1.8%
Jul 01,1.4%
Jun 01,1.7%
May 01,1.7%
Apr 01,1.2%
Mar 01,0.9%
Feb 01,0.8%
Jan 01,0.9%
Dec 00,0.8%
Nov 00,1.1%
Oct 00,1%
Sep 00,1%
Aug 00,0.6%
Jul 00,0.9%
Jun 00,0.8%
May 00,0.5%
Apr 00,0.6%
Mar 00,0.6%
Feb 00,0.9%
Jan 00,0.8%
Dec 99,1.1%
Nov 99,1.2%
Oct 99,1.1%
Sep 99,1.2%
Aug 99,1.2%
Jul 99,1.3%
Jun 99,1.3%
May 99,1.3%
Apr 99,1.5%
Mar 99,1.7%
Feb 99,1.4%
Jan 99,1.6%
Dec 98,1.6%
Nov 98,1.4%
Oct 98,1.4%
Sep 98,1.4%
Aug 98,1.3%
Jul 98,1.4%
Jun 98,1.7%
May 98,2%
Apr 98,1.8%
Mar 98,1.7%
Feb 98,1.6%
Jan 98,1.5%
Dec 97,1.7%
Nov 97,1.9%
Oct 97,1.9%
Sep 97,1.8%
Aug 97,2%
Jul 97,2%
Jun 97,1.7%
May 97,1.6%
Apr 97,1.6%
Mar 97,1.7%
Feb 97,1.9%
Jan 97,2.1%
Dec 96,2.3%
Nov 96,2.6%
Oct 96,2.5%
Sep 96,2.3%
Aug 96,2.3%
Jul 96,2.2%
Jun 96,2.3%
May 96,2.3%
Apr 96,2.5%
Mar 96,2.6%
Feb 96,2.7%
Jan 96,2.6%
Dec 95,3%
Nov 95,2.8%
Oct 95,2.9%
Sep 95,3%
Aug 95,2.6%
Jul 95,2.7%
Jun 95,2.6%
May 95,2.5%
Apr 95,2.3%
Mar 95,2.6%
Feb 95,2.4%
Jan 95,2.4%
Dec 94,2%
Nov 94,1.8%
Oct 94,1.5%
Sep 94,1.5%
Aug 94,1.9%
Jul 94,1.7%
Jun 94,2%
May 94,2%
Apr 94,2%
Mar 94,2.2%
Feb 94,2.5%
Jan 94,2.7%
Dec 93,2.4%
Nov 93,2.3%
Oct 93,2.6%
Sep 93,3.1%
Aug 93,2.9%
Jul 93,2.6%
Jun 93,2.4%
May 93,2.5%
Apr 93,2.5%
Mar 93,2.5%
Feb 93,2.4%
