Month,Number of deaths
"Nov 29, 2020",332
"Nov 28, 2020",328
"Nov 27, 2020",328
"Nov 26, 2020",316
"Nov 25, 2020",316
"Nov 24, 2020",314
"Nov 23, 2020",311
"Nov 22, 2020",306
"Nov 21, 2020",306
"Nov 20, 2020",305
"Nov 19, 2020",300
"Nov 18, 2020",298
"Nov 17, 2020",294
"Nov 16, 2020",294
"Nov 15, 2020",294
"Nov 14, 2020",294
"Nov 13, 2020",291
"Nov 12, 2020",285
"Nov 11, 2020",285
"Nov 10, 2020",285
"Nov 9, 2020",285
"Nov 8, 2020",285
"Nov 7, 2020",285
"Nov 6, 2020",285
"Nov 5, 2020",283
"Nov 4, 2020",282
"Nov 3, 2020",282
"Nov 2, 2020",282
"Nov 1, 2020",282
"Oct 31, 2020",282
"Oct 30, 2020",282
"Oct 29, 2020",281
"Oct 28, 2020",280
"Oct 27, 2020",280
"Oct 26, 2020",279
"Oct 25, 2020",279
"Oct 24, 2020",279
"Oct 23, 2020",279
"Oct 22, 2020",279
"Oct 21, 2020",279
"Oct 20, 2020",278
"Oct 19, 2020",278
"Oct 18, 2020",278
"Oct 17, 2020",278
"Oct 16, 2020",278
"Oct 15, 2020",278
"Oct 14, 2020",277
"Oct 13, 2020",277
"Oct 12, 2020",276
"Oct 11, 2020",275
"Oct 10, 2020",275
"Oct 9, 2020",275
"Oct 8, 2020",275
"Oct 7, 2020",275
"Oct 6, 2020",275
"Oct 5, 2020",275
"Oct 4, 2020",275
"Oct 3, 2020",275
"Oct 2, 2020",275
"Oct 1, 2020",274
"Sep 30, 2020",274
"Sep 29, 2020",274
"Sep 28, 2020",274
"Sep 27, 2020",270
"Sep 26, 2020",270
"Sep 25, 2020",270
"Sep 24, 2020",270
"Sep 23, 2020",267
"Sep 22, 2020",267
"Sep 21, 2020",267
"Sep 20, 2020",267
"Sep 19, 2020",267
"Sep 18, 2020",267
"Sep 17, 2020",266
"Sep 16, 2020",265
"Sep 15, 2020",265
"Sep 14, 2020",265
"Sep 13, 2020",265
"Sep 12, 2020",265
"Sep 11, 2020",265
"Sep 10, 2020",265
"Sep 9, 2020",264
"Sep 8, 2020",264
"Sep 7, 2020",264
"Sep 6, 2020",264
"Sep 5, 2020",264
"Sep 4, 2020",264
"Sep 3, 2020",264
"Sep 2, 2020",264
"Sep 1, 2020",264
"Aug 31, 2020",264
"Aug 30, 2020",264
"Aug 29, 2020",264
"Aug 28, 2020",264
"Aug 27, 2020",264
"Aug 26, 2020",264
"Aug 25, 2020",264
"Aug 24, 2020",264
"Aug 23, 2020",264
"Aug 22, 2020",264
"Aug 21, 2020",264
"Aug 20, 2020",264
"Aug 19, 2929",262
"Aug 18, 2020",262
"Aug 17, 2020",262
"Aug 16, 2020",261
"Aug 15, 2020",261
"Aug 14, 2020",261
"Aug 13, 2020",257
"Aug 12, 2020",256
"Aug 11, 2020",256
"Aug 10, 2020",256
"Aug 9, 2020",256
"Aug 8, 2020",256
"Aug 7, 2020",256
"Aug 6, 2020",256
"Aug 5, 2020",256
"Aug 4, 2020",256
"Aug 3, 2020",256
"Aug 2, 2020",255
"Aug 1, 2020",255
"Jul 31, 2020",255
"Jul 30, 2020",255
"Jul 29, 2020",255
"Jul 28, 2020",255
"Jul 27, 2020",255
"Jul 26, 2020",255
"Jul 25, 2020",255
"Jul 24, 2020",255
"Jul 23, 2020",255
"Jul 22, 2020",255
"Jul 21, 2020",255
"Jul 20, 2020",255
"Jul 19, 2020",255
"Jul 18, 2020",255
"Jul 17, 2020",255
"Jul 16, 2020",254
"Jul 15, 2020",253
"Jul 14, 2020",253
"Jul 13, 2020",253
"Jul 12, 2020",252
"Jul 11, 2020",252
"Jul 10, 2020",252
"Jul 09, 2020",252
"Jul 08, 2020",251
"Jul 07, 2020",251
"Jul 06, 2020",251
"Jul 05, 2020",251
"Jul 04, 2020",251
"Jul 03, 2020",251
"Jul 02, 2020",251
"Jul 01, 2020",251
"Jun 30, 2020",250
"Jun 29, 2020",249
"Jun 28, 2020",249
"Jun 27, 2020",249
"Jun 26, 2020",249
"Jun 25, 2020",249
"Jun 24, 2020",249
"Jun 23, 2020",248
"Jun 22, 2020",248
"Jun 21, 2020",244
"Jun 20, 2020",244
"Jun 19, 2020",244
"Jun 18, 2020",244
"Jun 17, 2020",243
"Jun 16, 2020",242
"Jun 15, 2020",242
"Jun 14, 2020",242
"Jun 13, 2020",242
"Jun 12, 2020",242
"Jun 11, 2020",242
"Jun 10, 2020",239
"Jun 09, 2020",239
