Month,Number of cases
"Jan 10, 2021",102144
"Jan 09, 2021",101913
"Jan 08, 2021",101657
"Jan 07, 2021",101382
"Jan 06, 2021",101120
"Jan 05, 2021",100873
"Jan 04, 2021",100645
"Jan 03, 2021",100408
"Jan 02, 2021",100159
"Jan 01, 2021",99897
"Dec 31, 2020",99610
"Dec 30, 2020",99311
"Dec 29, 2020",98988
"Dec 28, 2020",98631
"Dec 27, 2020",98249
"Dec 26, 2020",97857
"Dec 25, 2020",97441
"Dec 24, 2020",97007
"Dec 23, 2020",96549
"Dec 22, 2020",96069
"Dec 21, 2020",95659
"Dec 20, 2020",95203
"Dec 19, 2020",94781
"Dec 18, 2020",94371
"Dec 17, 2020",93933
"Dec 16, 2020",93507
"Dec 15, 2020",93065
"Dec 14, 2020",92597
"Dec 13, 2020",92102
"Dec 12, 2020",91638
"Dec 11, 2020",91121
"Dec 10, 2020",90579
"Dec 09, 2020",90014
"Dec 08, 2020",89416
"Dec 07, 2020",88825
"Dec 06, 2020",88252
"Dec 05, 2020",87502
"Dec 04, 2020",86730
"Dec 03, 2020",85927
"Dec 02, 2020",85084
"Dec 01, 2020",84152
"Nov 30, 2020",83199
"Nov 29, 2020",82221
"Nov 28, 2020",81212
"Nov 27, 2020",80168
"Nov 26, 2020",79110
"Nov 25, 2020",78025
"Nov 24, 2020",77000
"Nov 23, 2020",75867
"Nov 22, 2020",74862
"Nov 21, 2020",73774
"Nov 20, 2020",72755
"Nov 19, 2020",71652
"Nov 18, 2020",70629
"Nov 17, 2020",69591
"Nov 16, 2020",68589
"Nov 15, 2020",67679
"Nov 14, 2020",66819
"Nov 13, 2020",65975
"Nov 12, 2020",65108
"Nov 11, 2020",64257
"Nov 10, 2020",63446
"Nov 9, 2020",62693
"Nov 8, 2020",62051
"Nov 7, 2020",61381
"Nov 6, 2020",60800
"Nov 5, 2020",60169
"Nov 4, 2020",59527
"Nov 3, 2020",58979
"Nov 2, 2020",58574
"Nov 1, 2020",58272
"Oct 31, 2020",57942
"Oct 30, 2020",57651
"Oct 29, 2020",57332
"Oct 28, 2020",57026
"Oct 27, 2020",56706
"Oct 26, 2020",56419
"Oct 25, 2020",56143
"Oct 24, 2020",55880
"Oct 23, 2020",55630
"Oct 22, 2020",55357
"Oct 21, 2020",55081
"Oct 20, 2020",54829
"Oct 19, 2020",54616
"Oct 18, 2020",54402
"Oct 17, 2020",54203
"Oct 16, 2020",53998
"Oct 15, 2020",53777
"Oct 14, 2020",53584
"Oct 13, 2020",53399
"Oct 12, 2020",53325
"Oct 11, 2020",53072
"Oct 10, 2020",52940
"Oct 9, 2020",52804
"Oct 8, 2020",52658
"Oct 7, 2020",52520
"Oct 6, 2020",52399
"Oct 5, 2020",52270
"Oct 4, 2020",52136
"Oct 3, 2020",51995
"Oct 2, 2020",51847
"Oct 1, 2020",51690
"Sep 30, 2020",51530
"Sep 29, 2020",51368
"Sep 28, 2020",51213
"Sep 27, 2020",51067
"Sep 26, 2020",50914
"Sep 25, 2020",50754
"Sep 24, 2020",50579
"Sep 23, 2020",50400
"Sep 22, 2020",50214
"Sep 21, 2020",50023
"Sep 20, 2020",49826
"Sep 19, 2020",49623
"Sep 18, 2020",49413
"Sep 17, 2020",49194
"Sep 16, 2020",48966
"Sep 15, 2020",48734
"Sep 14, 2020",48496
"Sep 13, 2020",48254
"Sep 12, 2020",48007
"Sep 11, 2020",47752
"Sep 10, 2020",47488
"Sep 9, 2020",47216
"Sep 8, 2020",46938
"Sep 7, 2020",46653
"Sep 6, 2020",46364
"Sep 5, 2020",46071
"Sep 4, 2020",45773
"Sep 3, 2020",45496
"Sep 2, 2020",45158
"Sep 1, 2020",44833
"Aug 31, 2020",44494
"Aug 30, 2020",44146
"Aug 29, 2020",43781
"Aug 28, 2020",43403
"Aug 27, 2020",43016
"Aug 26, 2020",42619
"Aug 25, 2020",42228
"Aug 24, 2020",41858
"Aug 23, 2020",41460
"Aug 22, 2020",41068
"Aug 21, 2020",40667
"Aug 20, 2020",40258
"Aug 19, 2020",39847
"Aug 18, 2020",39444
"Aug 17, 2020",39025
"Aug 16, 2020",38583
"Aug 15, 2020",38133
"Aug 14, 2020",37664
"Aug 13, 2020",37187
"Aug 12, 2020",36699
"Aug 11, 2020",36204
"Aug 10, 2020",35712
"Aug 9, 2020",35160
"Aug 8, 2020",34693
"Aug 7, 2020",34155
"Aug 6, 2020",33626
"Aug 5, 2020",33055
"Aug 4, 2020",32504
"Aug 3, 2020",31972
"Aug 2, 2020",31465
"Aug 1, 2020",30950
"Jul 31, 2020",30394
"Jul 30, 2020",29831
"Jul 29, 2020",29229
"Jul 28, 2020",28615
"Jul 27, 2020",27973
"Jul 26, 2020",27357
"Jul 25, 2020",26764
"Jul 24, 2020",26159
"Jul 23, 2020",25484
"Jul 22, 2020",24872
"Jul 21, 2020",24278
Jul 20. 2020,23691
"Jul 19, 2020",23084
"Jul 18, 2020",22549
"Jul 17, 2020",21948
"Jul 16, 2020",21355
"Jul 15, 2020",20770
"Jul 14, 2020",20216
"Jul 13, 2020",19689
"Jul 12, 2020",19195
"Jul 11, 2020",18712
"Jul 10, 2020",18242
"Jul 09, 2020",17808
"Jul 08, 2020",17348
"Jul 07, 2020",16879
"Jul 06, 2020",16404
"Jul 05, 2020",15941
"Jul 04, 2020",15500
"Jul 03, 2020",15070
"Jul 02, 2020",14657
"Jul 01, 2020",14272
"Jun 30, 2020",13907
"Jun 29, 2020",13571
"Jun 28, 2020",13273
"Jun 27, 2020",12968
"Jun 26, 2020",12685
"Jun 25, 2020",12445
"Jun 24, 2020",12248
"Jun 23, 2020",12076
"Jun 22, 2020",11920
"Jun 21, 2020",11771
"Jun 20, 2020",11631
"Jun 19, 2020",11504
"Jun 18, 2020",11385
"Jun 17, 2020",11268
"Jun 16, 2020",11147
"Jun 15, 2020",11031
"Jun 14, 2020",10919
"Jun 13, 2020",10810
"Jun 12, 2020",10698
"Jun 11, 2020",10589
"Jun 10, 2020",10484
"Jun 09, 2020",10382
"Jun 08, 2020",10265
"Jun 07, 2020",10154
"Jun 06, 2020",10050
"Jun 05, 2020",9935
"Jun 04, 2020",9831
"Jun 03, 2020",9733
"Jun 02, 2020",9626
"Jun 01, 2020",9513
"May 31, 2020",9394
"May 30, 2020",9267
"May 29, 2020",9134
"May 28, 2020",8997
"May 27, 2020",8857
"May 26, 2020",8697
"May 25, 2020",8503
"May 24, 2020",8306
"May 23, 2020",8113
"May 22, 2020",7918
"May 21, 2020",7728
"May 20, 2020",7542
"May 19, 2020",7377
"May 18, 2020",7201
"May 17, 2020",7019
"May 16, 2020",6821
"May 15, 2020",6629
"May 14, 2020",6442
"May 13, 2020",6253
"May 12, 2020",6067
"May 11, 2020",5891
"May 10, 2020",5723
"May 09, 2020",5558
"May 08, 2020",5369
"May 07, 2020",5182
"May 06, 2020",4997
"May 05, 2020",4838
"May 04, 2020",4648
"May 03, 2020",4474
"May 02, 2020",4295
"May 01, 2020",4154
"Apr 30, 2020",4006
"Apr 29, 2020",3848
"Apr 28, 2020",3649
"Apr 27, 2020",3517
"Apr 26, 2020",3382
"Apr 25, 2020",3256
"Apr 24, 2020",3127
"Apr 23, 2020",3007
"Apr 22, 2020",2910
"Apr 21, 2020",2811
"Apr 20, 2020",2718
"Apr 19, 2020",2629
"Apr 18, 2020",2534
"Apr 17, 2020",2418
"Apr 16, 2020",2268
"Apr 15, 2020",2160
"Apr 14, 2020",2070
"Apr 13, 2020",1983
"Apr 12, 2020",1914
"Apr 11, 2020",1825
"Apr 10, 2020",1761
"Apr 09, 2020",1666
"Apr 08, 2020",1572
"Apr 07, 2020",1468
"Apr 06, 2020",1423
"Apr 05, 2020",1320
"Apr 04, 2020",1251
"Apr 03, 2020",1171
"Apr 02, 2020",986
"Apr 01, 2020",847
"Mar 31, 2020",716
"Mar 30, 2020",584
"Mar 29, 2020",511
"Mar 28, 2020",454
"Mar 27, 2020",409
"Mar 26, 2020",367
"Mar 25, 2020",302
"Mar 24, 2020",264
"Mar 23, 2020",230
"Mar 22, 2020",201
"Mar 21, 2020",139
"Mar 20, 2020",90
"Mar 19, 2020",87
"Mar 18, 2020",74
"Mar 17, 2020",60
"Mar 16, 2020",54
"Mar 15, 2020",48
"Mar 14, 2020",37
"Mar 13, 2020",26
"Mar 12, 2020",24
"Mar 11, 2020",20
"Mar 10, 2020",20
"Mar 09, 2020",20
"Mar 08, 2020",19
"Mar 07, 2020",17
"Mar 06, 2020",17
"Mar 05, 2020",12
"Mar 04, 2020",12
"Mar 03, 2020",5
"Mar 02, 2020",3
"Mar 01, 2020",1
"Feb 29, 2020",1
"Feb 28, 2020",1
"Feb 27, 2020",1
"Feb 26, 2020",1
"Feb 25, 2020",1
"Feb 24, 2020",0
"Feb 23, 2020",0
"Feb 22, 2020",0
"Feb 21, 2020",0
"Feb 20, 2020",0
