Month/day/year,Index points
11/25/2020,3662.45
11/18/2020,3635.41
11/11/2020,3609.53
11/4/2020,3545.53
10/27/2020,3369.16
10/20/2020,3390.68
10/13/2020,3443.12
10/6/2020,3511.93
9/30/2020,3380.8
9/23/2020,3335.47
9/16/2020,3315.57
9/9/2020,3401.2
9/2/2020,3331.84
8/26/2020,3526.65
8/19/2020,3443.62
8/12/2020,3389.78
8/5/2020,3333.69
7/29/2020,3218.44
7/22/2020,3257.3
7/15/2020,3197.52
7/8/2020,3145.32
7/1/2020,3115.86
6/24/2020,3100.29
6/17/2020,3113.29
6/10/2020,3124.74
6/3/2020,3207.18
5/27/2020,3080.82
5/20/2020,2991.77
5/13/2020,2922.94
5/6/2020,2870.12
4/29/2020,2868.44
4/22/2020,2863.39
4/15/2020,2736.56
4/8/2020,2846.06
4/1/2020,2659.41
3/25/2020,2475.56
3/18/2020,2447.33
3/11/2020,2529.19
3/4/2020,2882.23
2/26/2020,3003.37
2/19/2020,3128.21
2/12/2020,3370.29
2/5/2020,3357.75
1/29/2020,3297.59
1/22/2020,3276.24
1/15/2020,3320.79
1/8/2020,3283.15
1/1/2020,3237.18
