industry,Value in billion U.S. dollars
Finance,20.09
Technology services,114.85
Producer manufacturing,5.92
Process industries,9.1
Commercial services,17.56
Electronic technology,26.73
Industrial services,11.35
Consumer non-durables,2.73
Health technology,41.79
Distribution services,4.68
Consumer services,5.89
Communications,22.62
Non-energy minerals,0.77
Energy minerals,14.09
Health services,1.97
Utilities,17.87
Retail trade,30.76
Transportation,6.53
Consumer durables,6.14
Miscellaneous,0.24
Government,0.14
