Month,Price in GBP per kilogram
Nov '19,2.12
Oct '19,2.18
Sep '19,2.25
Aug '19,1.53
Jul '19,1.18
Jun '19,1.19
May '19,1.28
Apr '19,2.06
Mar '19,2.22
Jan '19,2.75
Dec '18,1.05
Nov '18,0.98
Oct '18,2.75
Sep '18,1.77
Aug '18,1.05
Jul '18,1.06
Jun '18,0.98
May '18,1.62
Apr '18,1.5
Dec '17,1.0
Nov '17,1.35
Oct '17,1.11
Sep '17,1.23
Aug '17,0.99
Jul '17,1.0
Jun '17,1.02
May '17,1.1
Apr '17,1.27
Dec '16,0.9
Nov '16,1.24
Oct '16,1.13
Sep '16,1.15
Aug '16,1.0
Jul '16,0.81
Jun '16,0.77
May '16,0.91
Apr '16,1.24
Mar '16,4.0
Nov '15,1.03
Oct '15,1.55
Sep '15,1.64
Aug '15,0.99
Jul '15,0.89
Jun '15,0.93
May '15,1.07
Apr '15,0.99
Mar '15,0.74
