Year,GDP per capita in U.S. dollars
2025*,6392.64
2024*,6118.5
2023*,5832.95
2022*,5523.76
2021*,5207.02
2020*,4909.39
2019*,5233.39
2018,5725.9
2017,5609.85
2016,5259.92
2015,5353.06
2014,6050.04
2013,5882.78
2012,5151.37
2011,5298.45
2010,4347.21
2009,3622.63
2008,4047.76
2007,2988.68
2006,2284.98
2005,1857.77
2004,1693.89
2003,1377.52
2002,1312.08
2001,1577.68
2000,1675.79
1999,1706.4
1998,1824.65
1997,2003.58
1996,2008.19
1995,1897.13
1994,1681.4
1993,1580.21
1992,1592.06
1991,1585.24
1990,1185.28
1989,977.84
1988,1392.42
1987,1084.7
1986,1335.76
1985,1154.15
