Metropolitan statistical area,"Larceny theft cases per 100,000 inhabitants"
"Great Falls, MT",3663.8
"Fairbanks, AK",3324.0
"Anchorage, AK",3190.1
"Alexandria, LA",3160.7
"Monroe, LA",2963.1
"Spokane-Spokane Valley, WA",2949.7
"Memphis, TN-MS-AR",2863.0
"Lubbock, TX",2807.8
"Florence, SC",2794.3
"St. Joseph, MO-KS",2746.9
"Joplin, MO",2715.2
"San Francisco-Oakland-Berkeley, CA",2698.7
"Shreveport-Bossier City, LA",2645.6
"Albuquerque, NM",2633.7
"Springfield, MO",2614.2
"Baton Rouge, LA",2573.0
"Salt Lake City, UT",2569.6
"Lake Charles, LA",2484.8
"San Antonio-New Braunfels, TX",2483.3
"Gulfport-Biloxi, MS",2480.0
"New Orleans-Metairie, LA",2459.9
"Albany, GA",2445.4
"Macon-Bibb County, GA",2438.6
"Columbia, SC",2430.1
"Topeka, KS",2409.2
"Hot Springs, AR",2403.3
"Kalamazoo-Portage, MI",2372.4
"Houma-Thibodaux, LA",2368.8
"Warner Robins, GA",2366.4
"Corpus Christi, TX",2354.9
"Pueblo, CO",2340.2
"Fort Smith, AR-OK",2334.7
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2328.6
"Missoula, MT",2289.9
"Kahului-Wailuku-Lahaina, HI",2236.8
"Panama City, FL",2224.5
"Odessa, TX",2212.8
"Urban Honolulu, HI",2211.7
"Billings, MT",2208.1
"Amarillo, TX",2203.7
"Pine Bluff, AR",2186.2
"San Angelo, TX",2170.8
"Tucson, AZ",2168.0
"Chattanooga, TN-GA",2167.4
"Miami-Fort Lauderdale-Pompano Beach, FL",2166.4
"Flagstaff, AZ",2165.3
"Sumter, SC",2135.0
"Mansfield, OH",2130.3
"Tallahassee, FL",2124.4
"Duluth, MN-WI",2123.0
