Beverage company,Sales in million U.S. dollars
Anheuser-Busch InBev,52329
Nestlé SA,42115
The Coca-Cola Co.,37266
PepsiCo Inc.,30894
Heineken N.V.,25782
Suntory Holdings Ltd.,24225
Diageo PLC,23815
Starbucks Corp.,23442
Keurig Dr Pepper,11120
Molson Coors Brewing Co.,10579
Pernod Ricard,9959
Unilever Group§,9443
Constellation Brands Inc.,8884
Red Bull GmbH*,8163
Abbott§§§,7409
Jacobs Douwe Egberts*,6800
Bacardi Ltd.*,6348
LVMH Louis Vuitton Moet Hennessy,6058
E. & J. Gallo Winery*,5000
Danone Group^,4937
Ito En Group,4725
The Wonderful Co.*+,4600
Campbell Soup Co.§§,4296
Brown-Forman Corp.,4271
Monster Beverage Corp.,4201
Cott Corp.,2395
Niagara Bottling LLC*,2311
Mark Anthony Group Inc.++*,2271
J. M. Smucker Co.,2122
Davide Campari,1997
Britvic PLC,1917
Treasury Wine Estates,1850
C&C Group plc,1703
Lassonde Industries Inc.*,1678
Blue Diamond Growers+,1566
D.G. Yuengling & Son Inc.*,1560
Glanbia PLC^^,1476
AriZona Beverage Co.*,1324
The Boston Beer Co. Inc.,1254
The Wine Group*,1127
Living Essentials LLC*,1105
Tata Consumer Products Ltd.,1010
Ocean Spray Cranberries Inc.*,996
National Beverage Corp.,978
Talking Rain Beverage Co.*,971
Vina Concha y Toro S.A.,930
Trinchero Family Estates,900
Peet's Coffee Inc.*,900
Rockstar Inc.*,851
Ste. Michelle Wine Estates*,759
