State,Rate of theft recoveries
Wyoming,74%
Utah,57%
Arkansas,54%
Washington,52%
Alaska,52%
North Dakota,52%
Wisconsin,51%
Colorado,50%
South Dakota,49%
Nevada,47%
Oklahoma,47%
Kentucky,47%
Vermont,47%
Idaho,46%
Minnesota,46%
Hawaii,46%
Missouri,45%
Oregon,45%
California,45%
District of Columbia,45%
Maine,45%
Arizona,45%
Iowa,43%
Montana,43%
Kansas,42%
New Hampshire,41%
Indiana,41%
West Virginia,41%
Nebraska,40%
New Mexico,40%
South Carolina,40%
Tennessee,40%
Ohio,39%
Alabama,39%
Florida,38%
Texas,35%
Illinois,34%
North Carolina,34%
Michigan,33%
Rhode Island,32%
Georgia,32%
Mississippi,30%
Louisiana,29%
Virginia,29%
Maryland,29%
Delaware,29%
New York,28%
Pennsylvania,28%
Massachusetts,26%
New Jersey,24%
Connecticut,22%
