Month,Number of new cases
"Jan 8, 2021",2907
"Jan 7, 2021",3068
"Jan 6, 2021",2047
"Jan 5, 2021",870
"Jan 4, 2021",856
"Jan 3, 2021",1307
"Jan 2, 2021",1410
"Jan 1, 2021",2764
"Dec 31, 2020",2971
"Dec 30, 2020",1972
"Dec 29, 2020",902
"Dec 28, 2020",609
"Dec 27, 2020",698
"Dec 26, 2020",1198
"Dec 25, 2020",2610
"Dec 24, 2020",3292
"Dec 23, 2020",1894
"Dec 22, 2020",1238
"Dec 21, 2020",2141
"Dec 20, 2020",2967
"Dec 19, 2020",4045
"Dec 18, 2020",4428
"Dec 17, 2020",2982
"Dec 16, 2020",2804
"Dec 15, 2020",1893
"Dec 14, 2020",3470
"Dec 13, 2020",4153
"Dec 12, 2020",5047
"Dec 11, 2020",6197
"Dec 10, 2020",5415
"Dec 9, 2020",3221
"Dec 8, 2020",2219
"Dec 7, 2020",3870
"Dec 6, 2020",6697
"Dec 5, 2020",5525
"Dec 4, 2020",6212
"Dec 3, 2020",6635
"Dec 2, 2020",4136
"Dec 1, 2020",3951
"Nov 30, 2020",5595
"Nov 29, 2020",6819
"Nov 28, 2020",6268
"Nov 27, 2020",6393
"Nov 26, 2020",6360
"Nov 25, 2020",3806
"Nov 24, 2020",3929
"Nov 23, 2020",3334
"Nov 22, 2020",4320
"Nov 21, 2020",4397
"Nov 20, 2020",4440
"Nov 19, 2020",4512
"Nov 18, 2020",4290
"Nov 17, 2020",5203
"Nov 16, 2020",6495
"Nov 15, 2020",4238
"Nov 14, 2020",4836
"Nov 13, 2020",5097
"Nov 12, 2020",3927
"Nov 11, 2020",3945
"Nov 10, 2020",4140
"Nov 9, 2020",5162
"Nov 8, 2020",4673
"Nov 7, 2020",5318
"Nov 6, 2020",4709
"Nov 5, 2020",3928
"Nov 4, 2020",4219
"Nov 3, 2020",3989
"Nov 2, 2020",3581
"Nov 1, 2020",3878
"Oct 31, 2020",3908
"Oct 30, 2020",3286
"Oct 29, 2020",2194
"Oct 28, 2020",2291
"Oct 27, 2020",2079
"Oct 26, 2020",2316
"Oct 25, 2020",3149
"Oct 24, 2020",1820
"Oct 23, 2020",2066
"Oct 22, 2020",2032
"Oct 21, 2020",1423
"Oct 20, 2020",989
"Oct 19, 2020",1478
"Oct 18, 2020",1474
"Oct 17, 2020",1791
"Oct 16, 2020",1293
"Oct 15, 2020",950
"Oct 14, 2020",920
"Oct 13, 2020",1025
"Oct 12, 2020",1173
"Oct 11, 2020",1068
"Oct 10, 2020",1374
"Oct 9, 2020",1176
"Oct 8, 2020",932
"Oct 7, 2020",816
"Oct 6, 2020",818
"Oct 5, 2020",905
"Oct 4, 2020",858
"Oct 3, 2020",1086
"Oct 2, 2020",1322
"Oct 1, 2020",848
"Sep 30, 2020",894
