Year,Gross domestic product in billion international dollars
2021*,1129.1
2020*,1035.05
2019,1001.48
2018,919.77
2017,838.56
2016,769.65
2015,713.99
2014,660.49
2013,609.35
2012,567.34
2011,527.62
2010,485.67
2009,451.1
2008,424.76
2007,394.33
2006,358.46
2005,325.24
2004,293.28
2003,264.95
2002,242.33
2001,222.78
2000,203.94
1999,186.8
1998,175.75
1997,164.32
1996,149.36
1995,134.15
1994,119.95
1993,107.91
1992,97.53
1991,87.73
1990,80.2
1989,73.59
1988,65.69
1987,60.37
1986,57.45
1985,54.49
1984,50.01
