industry,Number of businesses
Wholesale and retail trade,223955
Accommodation and food service activities,130595
Transportation,95412
"Membership organizations, repair and other personal services",69694
Manufacturing,58970
"Professional, scientific and technical activities",41654
Real estate activities and renting and leasing,41282
Education,35377
Human health and social work activities,28824
Information and communications,23384
"Arts, sports and recreation related services",23025
Construction,21825
Business facilities management and business support services,16198
Financial and insurance activities,11220
Public administration and defense,1282
"Sewerage, waste management, materials recovery and remediation activities",451
"Electricity, gas, steam and water supply",183
"Agriculture, forestry and fishing",30
Mining and quarrying,24
