Year,GDP per capita in U.S. dollars
2025*,19365.52
2024*,18558.79
2023*,17756.52
2022*,16368.89
2021*,14747.84
2020*,14158.57
2019*,17195.46
2018*,16860.96
2017*,15655.23
2016*,15556.01
2015*,14696.89
2014*,14144.12
2013*,13646.24
2012 *,14006.82
2011,13346.77
2010,13613.47
2009,14616.95
2008,16514.08
2007,15996.06
2006,14264.57
2005,12738.0
2004,11582.52
2003,10893.15
2002,10482.37
2001,10414.64
2000,10981.38
1999,10349.51
1998,10074.77
1997,9678.3
1996,9266.49
1995,8675.23
1994,9097.24
1993,8474.02
1992,8084.42
1991,7927.57
1990,7623.41
1989,7273.22
1988,6547.27
1987,5455.28
1986,4617.6
1985,3764.0
