Response,Share of respondents
Multiple stakeholders,57%
"Ambiguity of project features, resources, phases, etc.",48%
Significant political/authority influences,35%
"Unknown project features, resources, phases, etc.",33%
Dynamic (changing) project governance,29%
Significant external influences,28%
Use of technology that is new to the organization,26%
Use of technology that has not yet been fully developed,25%
Significant internal interpersonal or social influences,23%
Highly regulated environment,18%
Project duration exceeds the cycle of relevant technologies,10%
