Year,GDP per capita in U.S. dollars
2025*,1261.21
2024*,1162.64
2023*,1082.22
2022*,1030.32
2021*,971.28
2020*,915.35
2019*,916.16
2018*,869.43
2017*,829.07
2016,804.53
2015,769.77
2014,775.1
2013,767.24
2012,755.42
2011,669.3
2010,662.22
2009,628.76
2008,604.63
2007,488.91
2006,406.74
2005,372.28
2004,331.99
2003,278.83
2002,278.96
2001,268.07
2000,273.96
1999,285.56
1998,310.18
1997,326.72
1996,309.38
1995,309.75
1994,266.87
1993,190.45
1992,166.5
1991,183.8
1990,363.93
1989,462.4
1988,591.64
1987,592.63
1986,381.13
1985,396.29
