Top 20 most abused prescription drugs,Revenue in million U.S. dollars
Methylphenidate HCl,2073.0
OxyContin (oxycondone HCl controled-release),1390.0
Celecoxib,1246.0
Buprenorphine and naloxone,1026.0
Suboxone (buprenorphine and naloxone),935.0
Concerta (methylphenidate HCl),863.0
Celebrex (celecoxib capsule),733.0
Fentanyl,560.0
Zolpidem tartrate,491.0
Celecox (celecoxib),434.5
Adderall XR (amphetamine/dextroamphetamine),363.8
Sertraline HCL,349.0
Hydromorphone HCl,316.0
Ambien (zolpidem tartrate),304.0
Zoloft (sertraline HCl),304.0
Methylphenidate ER,288.0
Duragesic (fentanyl transdermal system),288.0
Ritalin/Focalin (methylphenidate HCl),282.0
Subsys (fentanyl sublingual spray),242.3
Morphine suflate,132.0
