Year,Number of divorces
2019*,108421
2018*,91299
2017,110524
2016,118046
2015,112390
2014,122656
2013,126719
2012,130473
2011,129773
2010,132338
2009,126520
2008,135942
2007,143825
2006,147717
2005,154559
2004,166669
2003,166218
2002,160725
2001,156798
2000,154581
1999,158720
1998,159997
1997,161055
1996,171690
1995,170062
1994,173054
1993,180493
1992,175112
1991,173430
1990,167551
1989,164295
1988,165629
1987,164644
1986,168283
1985,175334
1984,157968
1983,162374
1982,159365
1981,156963
1980,159727
1979,148144
1978,152724
1977,138445
1976,135960
1975,129278
1974,121103
1973,113531
1972,124911
1971,79588
1970,62857
1969,55556
1968,50597
1967,46131
1966,42643
1965,40476
1964,37323
1963,34297
1962,30977
1961,27224
1960,25696
1959,25990
1958,24445
1957,25532
1956,28156
1955,28894
1954,30253
1953,32702
1952,36659
1951,30722
1950,33074
1949,37303
1948,45755
1947,62787
1946,32763
1945,17861
1944,14051
1943,11329
1942,8638
1941,7132
1940,8537
1939,9144
1938,7039
1937,5535
1936,5788
1935,4567
1934,4755
1933,4552
1932,4382
1931,4333
1930,4032
1929,3915
1928,4522
1927,3664
1926,3047
1925,3056
1924,2724
1923,3030
1922,2970
1921,4022
1920,3866
1919,2483
1918,1596
1917,1000
1916,1257
1915,922
1914,1203
1913,827
1912,836
1911,814
1910,819
1909,886
1908,827
1907,844
1906,719
1905,771
1904,710
1903,800
1902,805
1901,635
1900,656
1899,644
1898,643
1897,645
1896,592
1895,524
1894,489
1893,499
1892,445
1891,476
1890,400
1889,451
1888,445
1887,520
1886,422
1885,472
1884,435
1883,399
1882,358
1881,382
1880,358
1879,413
1878,358
1877,278
1876,248
1875,227
1874,232
1873,240
1872,145
1871,177
1870,171
1869,166
1868,36
1867,124
1866,120
1865,183
1864,170
1863,143
1862,149
1861,223
1860,126
1859,141
1858,36
