Date (dd-mm-yyyy),Emerging Markets Bond Index (EMBI+)
27/10/2020,315
26/10/2020,317
23/10/2020,310
22/10/2020,306
21/10/2020,306
20/10/2020,305
19/10/2020,306
16/10/2020,307
15/10/2020,310
14/10/2020,309
13/10/2020,311
12/10/2020,308
9/10/2020,309
8/10/2020,315
7/10/2020,320
6/10/2020,328
5/10/2020,331
2/10/2020,341
1/10/2020,343
30/09/2020,343
29/09/2020,353
28/09/2020,347
25/09/2020,346
24/09/2020,348
23/09/2020,348
22/09/2020,332
21/09/2020,327
18/09/2020,313
17/09/2020,310
16/09/2020,306
15/09/2020,307
14/09/2020,310
11/9/2020,311
10/9/2020,308
9/9/2020,311
8/9/2020,317
7/9/2020,312
4/9/2020,312
3/9/2020,318
2/9/2020,312
1/9/2020,314
31/08/2020,319
28/08/2020,320
27/08/2020,327
26/08/2020,334
25/08/2020,334
24/08/2020,329
21/08/2020,333
20/08/2020,338
19/08/2020,327
18/08/2020,325
17/08/2020,321
14/08/2020,317
13/08/2020,307
12/8/2020,307
11/8/2020,298
10/8/2020,309
7/8/2020,317
6/8/2020,323
5/8/2020,323
4/8/2020,333
3/8/2020,329
31/07/2020,334
30/07/2020,342
29/07/2020,340
28/07/2020,349
27/07/2020,346
24/07/2020,352
23/07/2020,351
22/07/2020,342
21/07/2020,346
20/07/2020,355
17/07/2020,364
16/07/2020,375
15/07/2020,376
14/07/2020,685
13/07/2020,377
10/7/2020,382
9/7/2020,382
8/7/2020,374
7/7/2020,375
6/7/2020,362
3/7/2020,366
2/7/2020,366
1/7/2020,372
30/06/2020,380
29/06/2020,384
26/06/2020,384
25/06/2020,377
24/06/2020,376
23/06/2020,375
22/06/2020,375
19/06/2020,377
18/06/2020,380
17/06/2020,374
16/06/2020,367
15/06/2020,387
12/6/2020,384
11/6/2020,389
10/6/2020,355
9/6/2020,344
8/6/2020,332
5/6/2020,334
4/6/2020,348
3/6/2020,351
2/6/2020,375
1/6/2020,386
29/05/2020,392
28/05/2020,379
27/05/2020,384
26/05/2020,387
25/05/2020,405
22/05/2020,405
21/05/2020,405
20/05/2020,420
19/05/2020,429
18/05/2020,427
15/05/2020,451
14/05/2020,450
13/05/2020,438
12/5/2020,420
11/5/2020,414
8/5/2020,419
7/5/2020,432
6/5/2020,429
5/5/2020,423
4/5/2020,426
1/5/2020,422
30/04/2020,422
29/04/2020,446
28/04/2020,470
27/04/2020,475
24/04/2020,473
23/04/2020,442
22/04/2020,426
21/04/2020,421
20/04/2020,403
17/04/2020,397
16/04/2020,400
15/04/2020,394
14/04/2020,366
13/04/2020,374
9/4/2020,390
8/4/2020,415
7/4/2020,418
6/4/2020,437
3/4/2020,445
2/4/2020,427
1/4/2020,414
31/03/2020,389
30/03/2020,393
27/03/2020,375
26/03/2020,343
25/03/2020,370
24/03/2020,427
23/03/2020,476
20/03/2020,453
19/03/2020,465
18/03/2020,441
17/03/2020,374
16/03/2020,395
13/03/2020,335
12/3/2020,367
11/3/2020,302
10/3/2020,284
9/3/2020,312
6/3/2020,262
5/3/2020,239
4/3/2020,223
3/3/2020,240
2/3/2020,247
28/02/2020,252
27/02/2020,233
26/02/2020,218
25/02/2020,214
24/02/2020,208
21/02/2020,202
20/02/2020,193
19/02/2020,189
18/02/2020,198
17/02/2020,196
14/02/2020,196
13/02/2020,203
12/2/2020,203
11/2/2020,209
10/2/2020,216
7/2/2020,217
6/2/2020,213
5/2/2020,214
4/2/2020,219
3/2/2020,226
31/01/2020,225
30/01/2020,224
29/01/2020,225
28/01/2020,227
27/01/2020,232
24/01/2020,225
23/01/2020,220
22/01/2020,216
21/01/2020,214
20/01/2020,209
17/01/2020,209
16/01/2020,211
15/01/2020,217
14/01/2020,215
13/01/2020,213
10/1/2020,213
9/1/2020,215
8/1/2020,215
7/1/2020,220
6/1/2020,222
3/1/2020,225
2/1/2020,218
31/12/2019,214
30/12/2019,215
27/12/2019,215
26/12/2019,214
24/12/2019,215
23/12/2019,212
20/12/2019,214
19/12/2019,213
18/12/2019,208
17/12/2019,211
16/12/2019,212
13/12/2019,218
12/12/2019,215
11/12/2019,230
10/12/2019,228
9/12/2019,231
6/12/2019,231
5/12/2019,238
4/12/2019,240
3/12/2019,250
2/12/2019,240
29/11/2019,239
28/11/2019,244
27/11/2019,244
26/11/2019,246
25/11/2019,242
22/11/2019,241
21/11/2019,245
20/11/2019,249
19/11/2019,246
18/11/2019,240
15/11/2019,238
14/11/2019,238
13/11/2019,235
12/11/2019,232
11/11/2019,229
8/11/2019,229
7/11/2019,230
6/11/2019,235
5/11/2019,231
4/11/2019,229
1/11/2019,231
31/10/2019,240
30/10/2019,237
29/10/2019,228
28/10/2019,227
25/10/2019,231
24/10/2019,235
23/10/2019,237
22/10/2019,237
21/10/2019,235
18/10/2019,238
17/10/2019,238
16/10/2019,239
15/10/2019,237
14/10/2019,240
11/10/2019,240
10/10/2019,247
9/10/2019,255
8/10/2019,262
7/10/2019,259
4/10/2019,264
3/10/2019,264
2/10/2019,259
1/10/2019,252
30/09/2019,247
27/09/2019,246
26/09/2019,243
25/09/2019,240
24/09/2019,243
23/09/2019,234
20/09/2019,232
19/09/2019,227
18/09/2019,225
17/09/2019,227
16/09/2019,224
13/09/2019,219
12/9/2019,222
11/9/2019,228
10/9/2019,229
9/9/2019,234
6/9/2019,240
5/9/2019,238
4/9/2019,247
3/9/2019,249
2/9/2019,248
30/08/2019,248
29/08/2019,247
28/08/2019,252
27/08/2019,250
26/08/2019,245
23/08/2019,246
22/08/2019,240
21/08/2019,244
20/08/2019,247
19/08/2019,243
16/08/2019,248
15/08/2019,251
14/08/2019,244
13/08/2019,236
12/8/2019,239
9/8/2019,226
8/8/2019,229
7/8/2019,232
6/8/2019,233
5/8/2019,235
2/8/2019,222
1/8/2019,221
31/07/2019,212
30/07/2019,209
29/07/2019,207
26/07/2019,207
25/07/2019,208
24/07/2019,213
23/07/2019,213
22/07/2019,216
19/07/2019,220
18/07/2019,222
17/07/2019,221
16/07/2019,215
15/07/2019,217
12/7/2019,217
11/7/2019,218
10/7/2019,224
9/7/2019,228
8/7/2019,232
5/7/2019,233
4/7/2019,238
3/7/2019,238
2/7/2019,238
1/7/2019,234
28/06/2019,239
27/06/2019,242
26/06/2019,240
25/06/2019,243
24/06/2019,239
21/06/2019,236
20/06/2019,237
19/06/2019,246
18/06/2019,247
17/06/2019,252
14/06/2019,250
13/06/2019,248
12/6/2019,247
11/6/2019,248
10/6/2019,250
7/6/2019,254
6/6/2019,255
5/6/2019,256
4/6/2019,261
3/6/2019,276
31/05/2019,274
30/05/2019,270
29/05/2019,269
28/05/2019,267
27/05/2019,265
24/05/2019,265
23/05/2019,266
22/05/2019,258
21/05/2019,257
20/05/2019,260
17/05/2019,263
16/05/2019,261
15/05/2019,260
14/05/2019,256
13/05/2019,260
10/5/2019,252
9/5/2019,253
8/5/2019,250
7/5/2019,255
6/5/2019,250
3/5/2019,248
2/5/2019,250
1/5/2019,250
30/04/2019,252
29/04/2019,248
26/04/2019,252
25/04/2019,252
24/04/2019,251
23/04/2019,247
22/04/2019,250
19/04/2019,253
18/04/2019,253
17/04/2019,249
16/04/2019,248
15/04/2019,254
12/4/2019,252
11/4/2019,253
10/4/2019,253
9/4/2019,251
8/4/2019,250
5/4/2019,250
4/4/2019,250
3/4/2019,249
2/4/2019,253
1/4/2019,248
29/03/2019,253
28/03/2019,258
27/03/2019,262
26/03/2019,255
25/03/2019,255
22/03/2019,255
21/03/2019,239
20/03/2019,240
19/03/2019,240
18/03/2019,242
15/03/2019,246
14/03/2019,245
13/03/2019,249
12/3/2019,245
11/3/2019,243
8/3/2019,251
7/3/2019,249
6/3/2019,245
5/3/2019,242
4/3/2019,240
1/3/2019,236
28/02/2019,235
27/02/2019,236
