Year,Thousands of people
2020,37846.61
2019,37887.77
2018,37921.59
2017,37953.18
2016,37989.22
2015,38034.08
2014,38091.1
2013,38158.04
2012,38227.03
2011,38286.82
2010,38329.78
2009,38351.92
2008,38356.79
2007,38353.34
2006,38354.45
2005,38368.96
2004,38399.55
2003,38441.82
2002,38488.64
2001,38529.59
2000,38556.7
1999,38567.87
1998,38564.19
1997,38544.84
1996,38509.67
1995,38458.64
1994,38389.47
1993,38301.35
1992,38197.59
1991,38082.94
1990,37960.19
1989,37832.57
1988,37697.36
1987,37544.33
1986,37359.52
1985,37133.86
1984,36863.95
1983,36555.78
1982,36221.54
1981,35878.44
1980,35539.72
1979,35209.25
1978,34885.81
1977,34571.23
1976,34266.1
1975,33970.73
1974,33685.79
1973,33411.59
1972,33147.08
1971,32890.39
1970,32639.26
1969,32393.14
1968,32149.54
1967,31901.69
1966,31641.04
1965,31360.9
1964,31059.45
1963,30736.49
1962,30389.35
1961,30015.6
1960,29614.2
1959,29185.9
1958,28733.12
1957,28259.61
1956,27770.04
1955,27269.74
1954,26764.49
1953,26260.48
1952,25764.32
1951,25283.01
1950,24824.01
1949,24900.0
1948,25200.0
1947,25700.0
1946,26200.0
1945,26700.0
1944,27200.0
1943,27700.0
1942,28300.0
1941,28700.0
1940,28900.0
1939,29000.0
1938,29000.0
1937,28800.0
1936,28600.0
1935,28500.0
1934,28300.0
1933,28100.0
1932,27900.0
1931,27700.0
1930,27400.0
1929,27100.0
1928,26700.0
1927,26300.0
1926,25900.0
1925,25400.0
1924,25000.0
1923,24600.0
1922,24200.0
1921,24000.0
1920,23800.0
1919,23800.0
1918,23900.0
1917,24200.0
1916,24500.0
1915,24700.0
1914,25000.0
1913,25300.0
1912,25600.0
1911,25700.0
1910,25800.0
1909,25800.0
1908,25800.0
1907,25600.0
1906,25400.0
1905,25200.0
1904,25000.0
1903,24900.0
1902,24700.0
1901,24500.0
1900,24300.0
1899,24200.0
1898,24000.0
1897,23800.0
1896,23600.0
1895,23400.0
1894,23300.0
1893,23100.0
1892,22900.0
1891,22700.0
1890,22500.0
1889,22200.0
1888,21900.0
1887,21600.0
1886,21300.0
1885,20900.0
1884,20600.0
1883,20300.0
1882,20000.0
1881,19700.0
1880,19400.0
1879,19200.0
1878,18900.0
1877,18600.0
1876,18300.0
1875,18100.0
1874,17800.0
1873,17500.0
1872,17300.0
1871,17000.0
1870,16800.0
1869,16600.0
1868,16300.0
1867,16100.0
1866,15900.0
1865,15700.0
1864,15500.0
1863,15300.0
1862,15100.0
1861,14900.0
1860,14800.0
1859,14600.0
1858,14400.0
1857,14200.0
1856,14000.0
1855,13900.0
1854,13700.0
1853,13500.0
1852,13300.0
1851,13200.0
1850,13000.0
1849,12900.0
1848,12800.0
1847,12700.0
1846,12600.0
1845,12500.0
1844,12400.0
1843,12300.0
1842,12300.0
1841,12200.0
1840,12100.0
1839,12000.0
1838,11900.0
1837,11800.0
1836,11700.0
1835,11600.0
1834,11600.0
1833,11500.0
1832,11400.0
1831,11300.0
1830,11200.0
1829,11100.0
1828,11100.0
1827,11000.0
1826,10900.0
1825,10800.0
1824,10700.0
1823,10700.0
1822,10600.0
1821,10500.0
1820,10400.0
1819,10400.0
1818,10300.0
1817,10200.0
1816,10100.0
1815,10100.0
1814,9980.0
1813,9900.0
1812,9830.0
1811,9760.0
1810,9690.0
1809,9620.0
1808,9550.0
1807,9480.0
1806,9410.0
1805,9340.0
1804,9270.0
1803,9200.0
1802,9130.0
1801,9070.0
1800,9000.0
