Month,Stock market points
"Dec 1, '20",8140.8
"Nov 16, '20",7986.2
"Oct 30, '20",6452.2
"Oct 15, '20",6816.8
"Oct 1, '20",6730.7
"Sep 15, '20",7036.0
"Sep 1, '20",6956.9
"Aug 17, '20",7090.1
Aug 3 '20,6975.0
"Jul 31, '20",6877.4
"Jul 30, '20",6996.6
"Jul 29, '20",7206.2
"Jul 28, '20",7246.4
"Jul 27, '20",7170.6
"Jul 24, '20",7294.7
"Jul 23, '20",7384.9
"Jul 22, '20",7390.1
"Jul 21, '20",7494.5
"Jul 20, '20",7478.0
"Jul 17, '20",7440.4
"Jul 16, '20",7474.7
"Jul 15, '20",7487.6
"Jul 14, '20",7352.0
"Jul 13, '20",7426.9
"Jul 10, '20",7321.1
"Jul 9, '20",7236.9
"Jul 8, '20",7326.4
"Jul 7, '20",7447.4
"Jul 6, '20",7556.2
"Jul 3, '20",7403.5
"Jul 2, '20",7498.6
"Jul 1, '20",7227.4
"Jun 30, '20",7231.4
"Jun 29, '20",7278.1
"Jun 26, '20",7178.4
"Jun 25, '20",7270.3
"Jun 24, '20",7195.5
"Jun 23, '20",7438.4
"Jun 22, '20",7345.7
"Jun 19, '20",7414.2
"Jun 18, '20",7390.2
"Jun 17, '20",7478.7
"Jun 16, '20",7495.3
"Jun 15, '20",7259.3
"Jun 12, '20",7292.7
"Jun 11, '20",7278.0
"Jun 10, '20",7663.9
"Jun 9, '20",7752.3
"Jun 8, '20",7896.1
"Jun 5, '20",7872.6
"Jun 4, '20",7566.8
"Jun 3, '20",7626.4
"Jun 2, '20",7408.1
"Jun 1, '20",7221.4
"May 29, '20",7096.5
"May 28, '20",7224.1
"May 27, '20",7174.5
"May 26, '20",7003.9
"May 25, '20",6856.8
"May 22, '20",6697.5
"May 21, '20",6686.1
"May 20, '20",6683.6
"May 19, '20",6609.1
"May 18, '20",6779.3
"May 15, '20",6474.9
"May 14, '20",6545.6
"May 13, '20",6631.4
"May 12, '20",6762.7
"May 11, '20",6672.2
"May 10, '20",6762.7
"May 9, '20",6672.2
"May 8, '20",6783.1
"May 7, '20",6730.9
"May 6, '20",6671.7
"May 5, '20",6747.7
"May 4, '20",6673.3
Apr 30. '20,6922.3
Apr 29. '20,7055.7
Apr 28. '20,6836.4
Apr 27. '20,6731.8
Apr 24. '20,6613.9
Apr 23. '20,6746.5
Apr 22. '20,6719.8
"Apr 21, '20",6634.9
"Apr 20, '20",6831.5
"Apr 17, '20",6875.8
"Apr 16, '20",6763.4
"Apr 15, '20",6839.5
"Apr 14, '20",7108.6
"Apr 9, '20",7070.6
"Apr 8, '20",6951.8
"Apr 7, '20",7002.0
"Apr 6, '20",6844.3
"Apr 3, '20",6581.6
"Apr 2, '20",6574.1
"Apr 1, '20",6579.4
"Mar 31, '20",6785.4
"Mar 30, '20",6659.9
"Mar 27, '20",6777.9
"Mar 26, '20",7033.2
"Mar 25, '20",6942.4
"Mar 24, '20",6749.0
"Mar 23, '20",6230.2
"Mar 20, '20",6443.3
"Mar 19, '20",6395.8
"Mar 18, '20",6274.8
"Mar 17, '20",6498.5
"Mar 16, '20",6107.2
"Mar 13, '20",6629.6
"Mar 12, '20",6390.9
"Mar 11, '20",7436.4
"Mar 10, '20",7461.5
"Mar 9, '20",7708.7
"Mar 6, '20",8375.6
"Mar 5, '20",8683.0
"Mar 4, '20",8910.0
"Mar 3, '20",8811.6
"Mar 2, '20",8741.5
"Feb 28, '20",8723.2
"Feb 27, '20",8985.9
"Feb 26, '20",9316.8
"Feb 25, '20",9250.8
"Feb 24, '20",9483.5
"Feb 21, '20",9886.2
"Feb 20, '20",9931.0
"Feb 19, '20",10083.6
"Feb 18, '20",10005.8
"Feb 17, '20",10022.1
"Feb 14, '20",9956.8
"Feb 12, '20",9940.4
"Feb 11, '20",9882.6
"Feb 8, '20",9816.0
"Feb 7, '20",9811.0
"Feb 6, '20",9811.3
"Feb 4, '20",9562.9
"Feb 3, '20",9404.7
"Jan 31, '20",9367.9
"Jan 30, '20",9367.9
"Jan 29, '20",9546.7
"Jan 27, '20",9366.3
"Jan 24, '20",9562.0
"Jan 22, '20",9518.5
"Jan 21, '20",9573.7
"Jan 20, '20",9658.8
