Country,Aid (in million U.S. dollars)
Yemen,3509.1
Syria Refugee Response and Resilience Plan (3RP),2040.0
Syria,1922.3
South Sudan,1122.3
Somalia,879.8
Democratic Republic of the Congo,738.0
Ethiopia,659.2
Iraq,647.5
Bangladesh: Joint Response Plan for Rohingya Humanitarian Crisis,636.7
Sudan,601.6
Nigeria,567.7
Afghanistan,460.4
Regional Refugee and Migrant Response Plan (for Refugees and Migrants from Venezuela),384.0
Central African Republic,300.3
Mozambique Humanitarian Response Plan,293.0
