State,Number of unemployed in thousands
California,784
Texas,494
New York,377
Florida,321
Pennsylvania,284
Illinois,256
Ohio,239
Michigan,201
North Carolina,197
Georgia,175
Arizona,167
Washington,166
New Jersey,160
Virginia,123
Maryland,117
Tennessee,113
Indiana,112
Massachusetts,111
Wisconsin,104
Missouri,102
Louisiana,101
Minnesota,100
Kentucky,89
Colorado,87
Oregon,79
Connecticut,71
Mississippi,69
South Carolina,68
Alabama,67
Oklahoma,61
Nevada,60
Iowa,48
Arkansas,48
Kansas,47
New Mexico,46
Utah,42
West Virginia,39
Nebraska,32
Idaho,26
District of Columbia,22
Maine,21
Alaska,21
New Hampshire,20
Rhode Island,20
Montana,19
Delaware,18
Hawaii,18
South Dakota,15
Wyoming,11
North Dakota,10
Vermont,8
