Month,Number of deaths
"Dec 16, 2020",7893
"Dec 15, 2020",7863
"Dec 14, 2020",7848
"Dec 13, 2020",7826
"Dec 12, 2020",7803
"Dec 11, 2020",7775
"Dec 10, 2020",7736
"Dec 9, 2020",7694
"Dec 8, 2020",7652
"Dec 7, 2020",7619
"Dec 6, 2020",7580
"Dec 5, 2020",7510
"Dec 4, 2020",7473
"Dec 3, 2020",7418
"Dec 2, 2020",7346
"Dec 1, 2020",7278
"Nov 30, 2020",7215
"Nov 29, 2020",7153
"Nov 28, 2020",7103
"Nov 27, 2020",7054
"Nov 26, 2020",6991
"Nov 25, 2020",6933
"Nov 24, 2020",6863
"Nov 23, 2020",6796
"Nov 22, 2020",6742
"Nov 21, 2020",6683
"Nov 20, 2020",6633
"Nov 19, 2020",6587
"Nov 18, 2020",6542
"Nov 17, 2020",6491
"Nov 16, 2020",6451
"Nov 15, 2020",6414
"Nov 14, 2020",6375
"Nov 13, 2020",6338
"Nov 12, 2020",6305
"Nov 11, 2020",6277
"Nov 10, 2020",6250
"Nov 9, 2020",6215
"Nov 8, 2020",6180
"Nov 7, 2020",6158
"Nov 6, 2020",6132
"Nov 5, 2020",6107
"Nov 4, 2020",6085
"Nov 3, 2020",6064
"Nov 2, 2020",6045
"Nov 1, 2020",6025
"Oct 31, 2020",6000
"Oct 30, 2020",5982
"Oct 29, 2020",5975
"Oct 28, 2020",5967
"Oct 27, 2020",5953
"Oct 26, 2020",5950
"Oct 25, 2020",5940
"Oct 24, 2020",5933
"Oct 23, 2020",5926
"Oct 22, 2020",5920
"Oct 21, 2020",5911
"Oct 20, 2020",5908
"Oct 19, 2020",5900
"Oct 18, 2020",5900
"Oct 17, 2020",5899
"Oct 16, 2020",5896
"Oct 15, 2020",5894
"Oct 14, 2020",5891
"Oct 13, 2020",5889
"Oct 12, 2020",5888
"Oct 11, 2020",5885
"Oct 10, 2020",5883
"Oct 9, 2020",5878
"Oct 8, 2020",5873
"Oct 7, 2020",5872
"Oct 6, 2020",5869
"Oct 5, 2020",5865
"Oct 4, 2020",5863
"Oct 3, 2020",5860
"Oct 2, 2020",5857
"Oct 1, 2020",5854
"Sep 30, 2020",5853
"Sep 29, 2020",5849
"Sep 28, 2020",5847
"Sep 27, 2020",5846
"Sep 26, 2020",5845
"Sep 25, 2020",5843
"Sep 24, 2020",5839
"Sep 23, 2020",5838
"Sep 22, 2020",5838
"Sep 21, 2020",5837
"Sep 20, 2020",5835
"Sep 19, 2020",5831
"Sep 18, 2020",5830
"Sep 17, 2020",5829
"Sep 16, 2020",5828
"Sep 15, 2020",5826
"Sep 14, 2020",5825
"Sep 13, 2020",5823
"Sep 12, 2020",5821
"Sep 11, 2020",5820
"Sep 10, 2020",5816
"Sep 9, 2020",5814
"Sep 8, 2020",5812
"Sep 7, 2020",5811
"Sep 6, 2020",5810
"Sep 5, 2020",5807
"Sep 4, 2020",5807
"Sep 3, 2020",5807
"Sep 2, 2020",5805
"Sep 1, 2020",5803
"Aug 31, 2020",5800
"Aug 30, 2020",5798
"Aug 29, 2020",5795
"Aug 28, 2020",5794
"Aug 27, 2020",5793
"Aug 26, 2020",5792
"Aug 25, 2020",5790
"Aug 24, 2020",5789
"Aug 23, 2020",5788
"Aug 22, 2020",5785
"Aug 21, 2020",5784
"Aug 20, 2020",5779
"Aug 19, 2020",5777
"Aug 18, 2020",5776
"Aug 17, 2020",5772
"Aug 16, 2020",5769
"Aug 15, 2020",5769
"Aug 14, 2020",5768
"Aug 13, 2020",5767
"Aug 12, 2020",5762
"Aug 11, 2020",5759
"Aug 10, 2020",5755
"Aug 9, 2020",5753
"Aug 8, 2020",5749
"Aug 7, 2020",5748
"Aug 6, 2020",5746
"Aug 5, 2020",5742
"Aug 4, 2020",5741
"Aug 3, 2020",5739
"Aug 2, 2020",5735
"Aug 1, 2020",5732
"Jul 31, 2020",5730
"Jul 30, 2020",5728
"Jul 29, 2020",5728
"Jul 28, 2020",5727
"Jul 27, 2020",5723
"Jul 26, 2020",5717
"Jul 25, 2020",5715
"Jul, 24 2020",5714
"Jul 23, 2020",5711
"Jul 22, 2020",5706
"Jul 21, 2020",5700
"Jul 20, 2020",5693
"Jul 19, 2020",5687
"Jul 18, 2020",5680
"Jul 17, 2020",5669
"Jul 16, 2020",5662
"Jul 15, 2020",5656
"Jul 14, 2020",5650
"Jul 13, 2020",5642
"Jul 12, 2020",5630
"Jul 11, 2020",5621
"Jul 10, 2020",5611
"Jul 09, 2020",5597
"Jul 08, 2020",5582
"Jul 07, 2020",5571
"Jul 06, 2020",5559
"Jul 05, 2020",5544
"Jul 04, 2020",5535
"Jul 03, 2020",5520
"Jul 02, 2020",5512
"Jul 01, 2020",5497
"Jun 30, 2020",5482
"Jun 29, 2020",5462
"Jun 28, 2020",5446
"Jun 27, 2020",5423
"Jun 26, 2020",5409
"Jun 25, 2020",5398
"Jun 24, 2020",5375
"Jun 23, 2020",5353
"Jun 22, 2020",5328
"Jun 21, 2020",5308
"Jun 20, 2020",5286
"Jun 19, 2020",5257
"Jun 18, 2020",5227
"Jun 17, 2020",5198
"Jun 16, 2020",5166
"Jun 15, 2020",5138
"Jun 14, 2020",5108
"Jun 13, 2020",5081
"Jun 12, 2020",5048
"Jun 11, 2020",5019
"Jun 10, 2020",4984
"Jun 09, 2020",4944
"Jun 08, 2020",4911
"Jun 07, 2020",4873
"Jun 06, 2020",4840
"Jun 05, 2020",4811
"Jun 04, 2020",4774
"Jun 03, 2020",4731
"Jun 02, 2020",4703
"Jun 01, 2020",4667
"May 31, 2020",4628
"May 30, 2020",4582
"May 29, 2020",4543
"May 28, 2020",4502
"May 27, 2020",4462
"May 26, 2020",4424
"May 25, 2020",4396
"May 24, 2020",4354
"May 23, 2020",4310
"May 22, 2020",4255
"May 21, 2020",4199
"May 20, 2020",4145
"May 19, 2020",4093
"May 18, 2020",4052
"May 17, 2020",3993
"May 16, 2020",3940
"May 15, 2020",3892
"May 14, 2020",3834
"May 13, 2020",3788
"May 12, 2020",3738
"May 11, 2020",3677
"May 10, 2020",3612
"May 09, 2020",3539
"May 08, 2020",3471
"May 07, 2020",3411
"May 06, 2020",3331
"May 05, 2020",3258
"May 04, 2020",3186
"May 03, 2020",3102
"May 02, 2020",3027
"May 01, 2020",2954
"Apr 30, 2020",2876
"Apr 29, 2020",2798
"Apr 28, 2020",2715
"Apr 27, 2020",2632
"Apr 26, 2020",2558
"Apr 25, 2020",2484
"Apr 24, 2020",2411
"Apr 23, 2020",2322
"Apr 22, 2020",2236
"Apr 21, 2020",2159
"Apr 20, 2020",2097
"Apr 19, 2020",2012
"Apr 18, 2020",1925
"Apr 17, 2020",1839
"Apr 16, 2020",1756
"Apr 15, 2020",1645
"Apr 14, 2020",1530
"Apr 13, 2020",1438
"Apr 12, 2020",1354
"Apr 11, 2020",1257
"Apr 10, 2020",1155
"Apr 09, 2020",1065
"Apr 08, 2020",979
"Apr 07, 2020",864
"Apr 06, 2020",780
"Apr 05, 2020",690
"Apr 04, 2020",605
"Apr 03, 2020",535
"Apr 02, 2020",455
"Apr 01, 2020",385
"Mar 31, 2020",332
"Mar 30, 2020",284
"Mar 29, 2020",239
"Mar 28, 2020",201
"Mar 27, 2020",166
"Mar 26, 2020",134
"Mar 25, 2020",103
"Mar 24, 2020",81
"Mar 23, 2020",60
"Mar 22, 2020",49
"Mar 21, 2020",38
"Mar 20, 2020",30
"Mar 19, 2020",21
"Mar 18, 2020",14
"Mar 17, 2020",8
"Mar 16, 2020",7
"Mar 15, 2020",5
"Mar 14, 2020",3
"Mar 13, 2020",2
"Mar 12, 2020",1
"Mar 11, 2020",1
