Country,"Incarceration rate per 100,000 of national population"
United States,655
Turkey,344
Israel,234
Chile,232
New Zealand,199
Czech Republic,197
Poland,195
Slovakia,195
Estonia,184
Australia,169
Hungary,167
Mexico,158
United Kingdom:  England & Wales,135
United Kingdom: Scotland,131
Portugal,124
Spain,124
Canada,107
South Korea,106
Luxembourg,105
France,104
Greece,104
Italy,96
Austria,95
Belgium,95
Switzerland,81
United Kingdom: Northern Ireland,77
Germany,77
Ireland,76
Denmark,71
Slovenia,69
Netherlands,63
Sweden,61
Norway,60
Finland,53
Japan,39
Iceland,37
