Basketball team,Concession stand price in U.S. dollars
New York Knicks (21),10.5
Phoenix Suns (24),10.25
Detroit Pistons (24),9.5
Minnesota Timberwolves (20),9.5
Atlanta Hawks (24),9.0
Brooklyn Nets (16),8.5
Los Angeles Lakers (20),8.5
Boston Celtics (16),8.5
Philadelphia 76ers (20),8.5
Los Angeles Clippers (18),8.25
Miami Heat (24),8.0
Washington Wizards (20),8.0
Chicago Bulls (16),8.0
Utah Jazz (20),7.5
Memphis Grizzlies (16),7.5
Indiana Pacers (20),7.5
NBA League Average,7.5
Toronto Raptors (16),7.27
Houston Rockets (16),7.25
Golden State Warriors (12),7.0
New Orleans Pelicans (20),7.0
Sacramento Kings (20),7.0
Portland Trail Blazers (16),7.0
Denver Nuggets (12),6.75
Milwaukee Bucks (16),6.5
Charlotte Hornets (16),6.5
Orlando Magic (16),5.75
San Antonio Spurs (16),5.5
Dallas Mavericks (12),5.0
Oklahoma City Thunder (16),5.0
Cleveland Cavaliers (12),4.0
