Country,Number of soldiers
United States,28970
United Kingdom,3906
Germany,1599
Italy,1411
Georgia,755
Jordan,626
Turkey,393
Romania,327
Bulgaria,320
Poland,304
Slovakia,277
Australia,273
Czech Republic,227
Spain,181
Belgium,160
Croatia,153
Denmark,145
Armenia,121
Hungary,101
Azerbaijan,94
Finland,88
France,88
Lithuania,84
Norway,57
Republic of Korea,50
Mongolia,40
Portugal,37
United Arab Emirates,35
Montenegro,25
Albania,22
Sweden,13
Latvia,11
Ukraine,10
Greece,9
Bosnia-Herzegovina,8
Ireland,7
Estonia,4
Austria,3
The former Yugoslav republic of Macedonia*,152
Malaysia,2
Slovenia,2
Iceland,2
New Zealand,1
Luxembourg,1
