Year,Life expectancy in years
2020,82.46
2015,81.94
2010,80.95
2005,79.6
2000,78.45
1995,77.35
1990,76.13
1985,74.77
1980,73.66
1975,72.43
1970,71.46
1965,70.75
1960,69.39
1955,67.27
1950,64.7
1945,54.12
1940,57.2
1935,57.71
1930,55.28
1925,54.38
1920,43.11
1915,44.92
1910,49.34
1905,47.98
1900,46.36
1895,44.4
1890,44.0
1885,43.3
1880,43.59
1875,40.29
1870,40.39
1865,41.41
1860,39.61
1855,39.86
1850,40.11
1845,41.46
1840,40.39
1835,37.76
1830,38.71
1825,39.15
1820,38.84
1815,33.12
1810,35.22
1805,33.13
1800,34.78
1795,27.1
1790,29.32
1785,26.77
1780,29.23
1775,27.88
1770,29.11
1765,26.95
