state of Mexico,Number of cases
Mexico City,297345
State of Mexico,135837
Nuevo Leon,78362
Guanajuato,77557
Sonora,49063
Jalisco,48726
Coahuila,47132
Puebla,44549
Veracruz,42156
Tabasco,42112
San Luis Potosi,38649
Tamaulipas,38271
Chihuahua,35278
Baja California,31807
Michoacan,31779
Queretaro,29527
Oaxaca,27182
Sinaloa,26044
Yucatan,26026
Guerrero,25424
Durango,24301
Hidalgo,22841
Zacatecas,20168
Baja California Sur,16561
Aguascalientes,16238
Quintana Roo,15467
Tlaxcala,10415
Morelos,9050
Colima,7685
Nayarit,7672
Chiapas,7480
Campeche,7118
