Year,GDP per capita in U.S. dollars
2025*,9651.74
2024*,9329.81
2023*,9017.74
2022*,8707.95
2021*,8402.5
2020*,8069.1
2019,9862.44
2018,9687.01
2017,9287.84
2016,8744.54
2015,9616.67
2014,10980.99
2013,10764.33
2012,10261.05
2011,10204.51
2010,9258.2
2009,7975.42
2008,9973.02
2007,9588.51
2006,8997.27
2005,8189.16
2004,7383.02
2003,6964.63
2002,7465.92
2001,7409.68
2000,7016.24
1999,6019.94
1998,5346.19
1997,5148.07
1996,4286.48
1995,3810.93
1994,5672.01
1993,5467.16
1992,4479.32
1991,3927.96
1990,3335.46
1989,2940.09
1988,2459.99
1987,2050.33
1986,1906.82
1985,2810.06
