Year,GDP per capita in U.S. dollars
2025,701.23
2024,688.98
2023,682.86
2022,682.67
2021,713.79
2020,734.6
2019,771.81
2018,849.85
2017,1126.55
2016,1403.15
2015,1698.08
2014,1628.5
2013,1462.58
2012,1396.29
2011,2034.46
2010,1637.42
2009,1401.24
2008,1700.51
2007,1599.6
2006,1249.77
2005,996.68
2004,772.94
2003,635.58
2002,554.65
2001,492.68
2000,422.32
1999,352.44
1998,366.58
1997,350.72
1996,292.91
1995,239.51
1994,205.92
1993,186.51
1992,113.48
1991,95.29
1990,87.2
1989,696.39
1988,404.71
1987,516.78
1986,328.59
1985,253.18
