Football player,Market (transfer) value in million euros
Jadon Sancho (Borussia Dortmund),117.0
Serge Gnabry (FC Bayern München),90.0
Joshua Kimmich (FC Bayern München),85.0
Alphonso Davies (FC Bayern München),80.0
Erling Haaland (Borussia Dortmund),80.0
Leroy Sané (FC Bayern München),70.0
David Alaba (FC Bayern München),65.0
Dayot Upamecano (RB Leipzig),60.0
Leon Goretzka (FC Bayern München),60.0
Robert Lewandowski (FC Bayern München),60.0
Niklas Süle (FC Bayern München),48.0
Benjamin Pavard (FC Bayern München),45.0
Lucas Hernández (FC Bayern München),45.0
Ibrahima Konaté  (RB Leizpig),40.5
Julian Brandt (Bayer 04 Leverkusen),40.0
Kingsley Coman (FC Bayern München),40.0
Denis Zakaria (Borussia Mönchengladbach),40.0
Lukas Klostermann (RB Leizpig),38.0
Marcel Sabitzer (RB Leizpig),35.0
Raphaël Guerreiro (Borussia Dortmund),35.0
Thomas Müller (FC Bayern München),35.0
Christopher Nkunku (RB Leizpig),33.0
Matthias Ginter (Borussia Mönchengladbach),32.0
Filip Kostic (Eintracht Frankfurt),32.0
Marcus Thuram (Borussia Mönchengladbach),32.0
