Month,Number of confirmed cases
Jan 1,450075
Dec 31,445715
Dec 30,440330
Dec 29,436192
Dec 28,433694
Dec 27,431196
Dec 26,428697
Dec 25,426199
Dec 24,421382
Dec 23,416394
Dec 22,412162
Dec 21,408862
Dec 20,405563
Dec 19,402264
Dec 18,397820
Dec 17,392798
Dec 16,387195
Dec 15,382953
Dec 14,379412
Dec 13,375870
Dec 12,372329
Dec 11,367218
Dec 10,362180
Dec 9,357121
Dec 8,352875
Dec 7,349617
Dec 6,346359
Dec 5,343101
Dec 4,338731
Dec 3,334310
Dec 2,329530
Dec 1,325770
Nov 30,322852
Nov 29,319934
Nov 28,317017
Nov 27,312722
Nov 26,308254
Nov 25,303392
Nov 24,299171
Nov 23,295942
Nov 22,292712
Nov 21,289483
Nov 20,284560
Nov 19,279572
Nov 18,273487
Nov 17,268965
Nov 16,264705
Nov 15,260445
Nov 14,256186
Nov 13,249471
Nov 12,242578
Nov 11,234340
Nov 10,228405
Nov 9,222657
Nov 8,216908
Nov 7,211160
Nov 6,201801
Nov 5,191703
Nov 4,181660
Nov 3,175570
Nov 2,153728
Nov 1,153728
Oct 31,153728
Oct 30,144558
Oct 29,135197
Oct 28,127042
Oct 27,120680
Oct 26,103323
Oct 25,103323
Oct 24,103323
Oct 23,96731
Oct 22,91763
Oct 21,86167
Oct 20,83159
Oct 19,74227
Oct 18,74227
Oct 17,74227
Oct 16,71140
Oct 15,68534
Oct 14,65726
Oct 13,64287
Oct 12,60230
Oct 11,60230
Oct 10,60230
Oct 9,58745
Oct 8,57576
Oct 7,56502
Oct 6,55803
Oct 5,54263
Oct 4,54263
Oct 3,54263
Oct 2,53712
Oct 1,53162
Sep 30,52751
Sep 29,52528
Sep 28,51747
Sep 27,51747
Sep 26,51747
Sep 25,51492
Sep 24,50984
Sep 23,50548
Sep 22,50264
Sep 21,49171
Sep 20,49171
Sep 19,49171
Sep 18,48684
Sep 17,48154
Sep 16,47640
Sep 15,47325
Sep 14,47068
Sep 13,46595
Sep 12,46130
Sep 11,45602
Sep 10,45197
Sep 9,44729
Sep 8,44484
Sep 7,44293
Sep 6,43849
Sep 5,43424
Sep 4,43127
Sep 3,42655
Sep 2,42285
Sep 1,42069
Aug 31,41906
Aug 30,41615
Aug 29,41240
Aug 28,40900
Aug 27,40540
Aug 26,40161
Aug 25,39959
Aug 24,39802
Aug 23,39526
Aug 22,39232
Aug 21,38926
Aug 20,38662
Aug 19,38352
Aug 18,38156
Aug 17,38031
Aug 16,37831
Aug 15,37580
Aug 14,37312
Aug 13,37079
Aug 12,36806
Aug 11,36619
Aug 10,36514
Aug 9,36362
Aug 8,36180
Aug 7,36019
Aug 6,35838
Aug 5,35657
Aug 4,35527
Aug 3,35461
Aug 2,35412
Aug 1,34933
July 31,34933
July 30,34714
July 29,34522
July 28,34390
July 27,34325
July 26,34215
July 25,34067
July 24,33913
July 23,33796
July 22,33655
July 21,33547
July 20,33504
July 19,33406
July 18,33296
July 17,33205
July 16,33063
July 15,32931
July 14,32861
July 13,32713
July 12,32713
July 11,32605
July 10,32501
July 9,32413
July 8,32284
July 7,32230
July 6,32184
July 5,32114
July 4,32017
July 3,31884
July 2,31851
July 1,31631
June 30,31569
June 29,31534
June 28,31472
June 27,31403
June 26,31345
June 25,31293
June 24,31249
June 23,31217
June 22,31217
June 21,31217
June 20,31217
June 19,31134
June 18,31100
June 17,31063
June 16,31048
June 15,31034
June 14,31011
June 13,30980
June 12,30961
June 11,30928
June 10,30905
June 9,30889
June 8,30882
June 7,30873
June 6,30853
June 5,30830
June 4,30810
Juen 3,30791
June 2,30788
June 1,30779
May 31,30762
May 30,30745
May 29,30713
May 28,30693
May 27,30678
May 26,30663
May 25,30653
May 24,30642
May 23,30624
May 22,30611
May 21,30575
May 20,30535
May 19,30514
May 18,30504
May 17,30489
May 16,30431
May 15,30380
May 14,30330
May 13,30297
May 12,30261
May 11,30222
May 10,30168
May 9,30168
May 8,30043
May 7,29977
May 6,29926
May 5,29898
May 4,29822
May 3,29734
May 2,29622
May 1,29503
Apr 30,29324
Apr 29,29181
Apr 28,29081
Apr 27,28978
Apr 26,28978
Apr 25,28595
Apr 24,28414
Apr 23,28186
Apr 22,27981
Apr 21,27862
Apr 20,27658
Apr 19,27322
Apr 18,26997
Apr 17,26651
Apr 16,26336
Apr 15,25753
Apr 14,25449
Apr 13,25220
Apr 12,24820
Apr 11,24228
Apr 10,23495
Apr 9,22710
Apr 8,22164
Apr 7,21574
Apr 6,21065
Apr 5,20489
Apr 4,19706
Apr 3,18844
Apr 2,17070
Apr 1,16108
Mar 31,15412
Mar 30,14274
Mar 29,13152
Mar 28,12104
Mar 27,10714
Mar 26,9714
Mar 25,8789
Mar 24,8015
Mar 23,6971
Mar 22,6077
Mar 21,4840
Mar 20,3863
Mar 19,3010
Mar 18,3000
Mar 17,2600
Mar 16,2200
Mar 15,1359
Mar 14,1125
Mar 13,858
Mar 12,815
Mar 11,491
Mar 10,332
Mar 9,332
Mar 8,264
Mar 7,227
Mar 6,86
Mar 5,56
Mar 4,37
Mar 3,30
Mar 2,24
Mar 1,18
Feb 29,10
Feb 28,6
Feb 27,4
Feb 26,1
