Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",65.59
Professional and business services,55.91
Government and government enterprises,40.13
Manufacturing,25.5
Information,25.32
"Educational services, health care, and social assistance",25.01
"Mining, quarrying, and oil and gas extraction",20.38
Retail trade,19.66
Wholesale trade,18.99
Construction,17.01
"Arts, entertainment, recreation, accommodation, and food services",16.26
Transportation and warehousing,11.99
Other services (except government and government enterprises),7.26
"Agriculture, forestry, fishing, and hunting",4.24
Utilities,3.6
