Year,Number of countries
1977,147
1976,146
1975,144
1974,141
1973,140
1972,139
1971,133
1970,129
1969,124
1968,119
1967,111
1966,110
1965,105
1964,100
1963,100
1962,97
1961,93
1960,90
1959,85
1958,81
1957,81
1956,79
1955,78
1954,77
1953,75
1952,73
1951,72
1950,66
1949,65
1948,63
1947,57
1946,56
1945,55
1944,55
1943,53
1942,53
1941,53
1940,53
1939,53
1938,52
1937,51
1936**,51
1935,35
1934,35
1933,34
1932,33
1931,33
1930,33
1929,33
1928,33
1927,33
1926,33
1925**,31
1924,25
1923,22
1922,18
1921,14
1920,14
1919,10
1918,10
1917,9
1916,8
1915,8
1914,8
1913,7
1912,7
1911,7
1910,7
1909,7
1908,7
1907,7
1906,6
1905,6
1904,6
1903,5
1902,5
1901,5
1900,4
1899,3
1898,3
1897,2
1896,2
1895,2
1894,1
1893,1
1892,1
1891,1
1890,1
1889,1
1888,1
1887,1
1886,1
1885,1
1884,1
1883,1
1882,1
1881,1
1880,1
1879,1
1878,1
1877,1
1876,1
1875,1
1874,1
1873,1
1872,1
