Country,"Number of cases per 100,000 population"
Montenegro,7906.85
Luxembourg,7642.85
Czechia,7011.53
Slovenia,6048.23
Georgia,5759.66
Belgium,5681.05
Armenia,5406.93
Switzerland,5379.58
Lithuania,5296.61
Croatia,5224.37
Serbia,4937.99
Netherlands,4745.89
Sweden,4591.78
Spain,4173.34
Portugal,4157.54
Austria,4115.4
North Macedonia,4045.19
United Kingdom,3983.34
France,3963.01
Moldova,3616.12
Italy,3571.01
Poland,3483.93
Slovakia,3451.09
Bosnia And Herzegovina,3433.45
Hungary,3364.98
Romania,3298.72
Denmark,2905.76
Bulgaria,2900.71
Kosovo,2889.34
Cyprus,2737.07
Malta,2650.54
Ukraine,2455.98
Russian Federation,2233.97
Estonia,2228.3
Latvia,2213.42
Azerbaijan,2172.42
Germany,2138.68
Belarus,2116.15
Ireland,2077.53
Albania,2076.49
Turkey,1728.82
Iceland,1611.81
Greece,1306.33
Norway,951.82
Finland,669.07
