Location (year measured),Temperature in Celsius
"Dome Fuji, Antarctica (August 2010)",-93.2
"Vostok Research Station, Antarctica (July 1983)",-89.2
"Amundsen-Scott South Pole Station, Antarctica (June 1982)",-82.8
"Dome Argus, Antarctic Plateau (July 2005)",-82.5
"Mount McKinley, Alaska (1950)*",-73.8
"Verkhoyansk, Russia (1892)",-69.8
"Klinck research station, Greenland (December 1991)",-69.4
"Oymyakon, Russia (February 1993)",-67.8
"North Ice, Greenland (January 1954)",-66.1
"Snag, Yukon, Canada (February 1947)",-62.7
