Month,Units sold
Dec 19,5309
Nov 19,5839
Oct 19,6217
Sep 19,13745
Aug 19,2328
Jul 19,6191
Jun 19,9247
May 19,7754
Apr 19,6340
Mar 19,19962
Feb 19,2471
Jan 19,6969
Dec 18,5294
Nov 18,5710
Oct 18,6433
Sep 18,16827
Aug 18,2480
Jul 18,6312
Jun 18,8640
May 18,8699
Apr 18,7448
Mar 18,24561
Feb 18,2316
Jan 18,7917
Dec 17,7759
Nov 17,7823
Oct 17,8183
Sep 17,28810
Aug 17,3710
Jul 17,9786
Jun 17,13067
May 17,10627
Apr 17,8041
Mar 17,36939
Feb 17,5033
Jan 17,11378
Dec 16,10269
Nov 16,10269
Oct 16,11792
Sep 16,27807
Aug 16,3503
Jul 16,9944
Jun 16,13785
May 16,10925
Apr 16,10029
Mar 16,28489
Feb 16,4634
Jan 16,10720
Dec 15,9775
Nov 15,8803
Oct 15,10392
Sep 15,28473
Aug 15,3159
Jul 15,9912
Jun 15,15771
May 15,11561
Apr 15,9844
Mar 15,31026
Feb 15,4145
Jan 15,11076
Dec 14,8762
Nov 14,10752
Oct 14,11934
Sep 14,22550
Aug 14,2956
Jul 14,10455
