city of the United States,Poverty rate
"McAllen-Edinburg-Mission, TX",27.3
"Monroe, LA",26.0
"Las Cruces, NM",25.9
"Brownsville-Harlingen, TX",25.6
"El Centro, CA",25.1
"Pine Bluff, AR",23.6
"Blacksburg-Christiansburg, VA",22.9
"Hammond, LA",22.9
"Muncie, IN",22.8
"Albany, GA",22.6
"Hattiesburg, MS",22.5
"Shreveport-Bossier City, LA",22.2
"Yuma, AZ",21.4
"Farmington, NM",21.2
"Bloomington, IN",20.9
"Valdosta, GA",20.9
"Fresno, CA",20.6
"College Station-Bryan, TX",20.5
"Laredo, TX",20.5
"Tallahassee, FL",20.5
"Lake Charles, LA",20.4
"Athens-Clarke County, GA",20.2
"Morgantown, WV",20.1
"Champaign-Urbana, IL",20.0
"Gadsden, AL",19.7
"Greenville, NC",19.6
"Houma-Thibodaux, LA",19.5
"Fort Smith, AR-OK",19.4
"Goldsboro, NC",19.4
"Sumter, SC",19.4
"Macon-Bibb County, GA",19.2
"Bakersfield, CA",19.1
"Saginaw, MI",19.0
"Jonesboro, AR",18.9
"Visalia, CA",18.8
"Waco, TX",18.8
"El Paso, TX",18.7
"Dothan, AL",18.6
"Manhattan, KS",18.6
"Gainesville, FL",18.5
"Lafayette, LA",18.4
"Columbia, MO",18.3
"Lubbock, TX",18.3
"Carbondale-Marion, IL",18.1
"Joplin, MO",18.0
"Terre Haute, IN",18.0
"Beckley, WV",17.9
"Corvallis, OR",17.9
"Fayetteville, NC",17.9
"Ithaca, NY",17.9
