Year,GDP per capita in U.S. dollars
2025*,5099.62
2024*,4870.26
2023*,4654.43
2022*,4514.73
2021*,4384.93
2020*,4239.67
2019,4354.34
2018,4235.78
2017,4230.85
2016,3982.17
2015,3825.88
2014,3687.75
2013,3452.83
2012,3299.6
2011,3187.84
2010,2825.51
2009,2635.74
2008,2794.24
2007,2489.95
2006,2256.56
2005,2077.84
2004,1872.74
2003,1753.34
2002,1701.77
2001,1568.38
2000,1475.21
1999,1448.28
1998,1570.72
1997,1479.01
1996,1335.42
1995,1279.14
1994,1165.43
1993,1052.61
1992,991.38
1991,916.06
1990,767.06
1989,897.81
1988,798.25
1987,755.75
1986,669.27
1985,1269.5
