Month,Money supply in billion GBP
Jun '20,3178.9
May '20,3150.84
Apr '20,3113.05
Mar '20,3098.93
Feb '20,2932.84
Jan '20,2901.75
Dec '19,2897.82
Nov '19,2877.72
Oct '19,2869.65
Sep '19,2883.12
Aug '19,2893.64
Jul '19,2886.32
Jun '19,2875.92
May '19,2869.86
Apr '19,2859.51
Mar '19,2858.77
Feb '19,2850.29
Jan '19,2875.0
Dec '18,2910.42
Nov '18,2879.49
Oct '18,2884.34
Sep '18,2851.41
Aug '18,2832.61
Jul '18,2828.83
Jun '18,2828.41
May '18,2831.36
Apr '18,2787.29
Mar '18,2794.18
Feb '18,2827.54
Jan '18,2826.56
Dec '17,2802.96
Nov '17,2800.05
Oct '17,2803.18
Sep '17,2786.11
Aug '17,2773.49
Jul '17,2740.08
Jun '17,2734.62
May '17,2725.27
Apr '17,2725.68
Mar '17,2712.7
Feb '17,2686.5
Jan '17,2653.29
Dec '16,2635.61
Nov '16,2629.39
Oct '16,2634.97
Sep '16,2604.15
Aug '16,2586.36
Jul '16,2566.98
Jun '16,2540.06
May '16,2455.56
Apr '16,2443.02
Mar '16,2448.99
Feb '16,2440.73
Jan '16,2417.33
