Vineyard,Unnamed: 1
Côte d'Or - Bourgogne grand cru,6250.0
Gironde - Pauillac,2200.0
Gironde - Pomerol,1800.0
Côte d'Or - Bourgogne premier cru blanc,1590.0
Marne - Champagne - Côte des blanc (zone 1),1582.6
Gironde - Saint-Julien,1300.0
"Marne - Champagne - Côte d'Epernay, Grande Montagne (zone 2)",1187.3
Rhône - Côte Rotie,1150.0
Gironde - Margaux,1100.0
Marne - Champagne - other region,1037.1
Aube - Champagne,1001.1
Loire - Condrieu,900.0
Aisne - Champagne,852.1
Côte d'Or - Bourgogne appellations communales Côte de Beaune blanc,750.0
Côte d'Or - Bourgogne premier cru rouge,680.0
Côte d'Or - Bourgogne appellations communales Côte de Nuits rouge,628.0
Gironde - Saint-Estèphe,550.0
Gironde - Pessac-Léogan,500.0
Ardèche - Cornas,450.0
Vaucluse - Châteauneuf-du-Pape,420.0
